Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,109396.68825888843,48123.159739643605,150626.75192034224,,76092.46801533349,23532.765965289615,102041.66114680593,45532.58359905558,70550.79987137984,78330.67045121995,16602.3788826494,26507.623486804703,101752.68676589399,40226.29634382602,0.0664,,0.1315,0.42500000000000004,0.098,0.2197,0.1418,0.1277,0.6024,0.3773,0.0983,0.24860000000000002,0.2024,0.0982,investor 3
1.0,109370.21737639786,48096.688857153036,150580.76601792133,,76110.02616598114,23541.971914851947,102109.44321454743,45552.6099841817,70577.13208705689,78380.51759503795,16596.35520269159,26540.16010622723,101797.57516532406,40255.53857478728,0.0665,,0.13140000000000002,0.4248,0.098,0.21960000000000002,0.14170000000000002,0.12760000000000002,0.6026,0.3768,0.0983,0.2485,0.2024,0.0982,investor 3
361.0,128955.92436182685,67682.39584258202,18128.26631478733,,81887.8362797774,26757.163439118463,122129.20814849283,52653.92824410877,80586.40295704383,97459.55535581977,14514.022622740145,36669.4801191059,115856.58219246614,51483.99457998648,1780.0,,8040.0,2620.0,0.098,5170.0,7910.0,9570.0,1420.0,3600.0,11370.0,5050.0,11390.0,11390.0,
362.0,129073.08826015802,67799.55974091319,18148.25395827095,,81903.79865063149,26765.87017427263,122180.95760556415,52671.131790408384,80608.01464378707,97507.98377334366,14507.700682581333,36696.78687335806,115887.63582080528,51513.16069177517,1780.0,,8040.0,2620.0,0.098,5170.0,7910.0,9570.0,1420.0,3600.0,11380.0,5050.0,11390.0,11390.0,
363.0,129351.93035833964,68078.40183909482,18195.82318843539,,81921.65017328423,26774.611240597565,122231.08561395627,52688.310498677376,80636.81986311871,97555.93021845225,14502.056943037085,36721.150228009385,115921.38917879167,51544.03985462015,1780.0,,8040.0,2620.0,0.098,5170.0,7910.0,9570.0,1420.0,3600.0,11380.0,5060.0,11390.0,11390.0,
364.0,129067.78786728441,67794.25934803957,18147.34973466121,,81936.84514327793,26783.32888072344,122282.32632694903,52707.85885449209,80666.6060163837,97602.59020357594,14495.646212987793,36747.38553555337,115955.81740416803,51573.72305364346,1780.0,,8040.0,2630.0,0.098,5170.0,7920.0,9580.0,1420.0,3600.0,11380.0,5060.0,11390.0,11390.0,
365.0,129107.66329503966,67834.13477579484,18154.152306486496,,81948.3277564426,26792.000678306213,122332.12134254866,52728.187467026335,80699.95056892552,97651.56331979814,14489.111386427212,36775.2475729964,115991.11509577528,51602.08390575748,1780.0,,8040.0,2630.0,0.098,5170.0,7920.0,9580.0,1420.0,3610.0,11390.0,5060.0,11390.0,11390.0,investor 9
366.0,129226.9504497934,67953.42193054856,18174.50216813632,,81965.61911876364,26800.75298636453,122382.74974671802,52747.94238684368,80725.92537850651,97701.16760463022,14482.319053955169,36801.44438292889,116025.46232104105,51630.59799198966,1780.0,,8040.0,2630.0,0.098,5170.0,7920.0,9590.0,1420.0,3610.0,11390.0,5070.0,11390.0,11390.0,investor 9
