Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,281288.8724472343,90640.96881365016,311982.2038792316,,38861.514755256496,63726.78098518004,21030.695519889046,36542.03558936301,60576.51641472357,24023.782041106882,22691.86779324229,39703.26784793347,40272.50277865508,34125.45223191732,0.032100000000000004,,0.2574,0.157,,0.2737,0.1651,0.4163,0.44070000000000004,0.2519,0.2484,0.2931,0.0995,0.0995,
1.0,282066.2920994266,91418.3884658425,313183.43674102233,,38885.14124753709,63745.67969657716,21049.002782841213,36543.60570655651,60601.794695415185,24043.704223684224,22693.869229407108,39733.294373265715,40300.11730463169,34144.23619870763,0.032,,0.25720000000000004,0.1569,,0.2737,0.1651,0.41600000000000004,0.44070000000000004,0.25170000000000003,0.2482,0.2929,0.0995,0.0995,
2.0,283164.03444151947,92516.13080793535,314879.61739632546,,38916.571811985465,63764.545912942434,21067.336520275756,36545.19611938724,60626.83891118622,24068.675766746765,22696.23796487424,39759.93009235648,40327.96037256296,34165.021854334096,0.0318,,0.257,0.1569,,0.2737,0.165,0.41550000000000004,0.44070000000000004,0.2516,0.248,0.2927,0.0995,0.0995,
3.0,282638.2973819356,91990.39374835146,314067.2728268866,,38948.479778120665,63787.61485372354,21085.74391938867,36546.83948409049,60644.639966366514,24091.328311122194,22697.18203507335,39786.980485268694,40355.916389188176,34182.93626911069,0.031900000000000005,,0.25680000000000003,0.1568,,0.2737,0.16490000000000002,0.4151,0.44060000000000005,0.2514,0.24780000000000002,0.2926,0.0995,0.0995,
4.0,281826.0975542008,91178.19392061667,312812.29924773355,,38976.18523831386,63806.087017435944,21104.26702000126,36548.89657146245,60668.46802357268,24110.693868364986,22699.909714257537,39818.4256451852,40384.0793401396,34203.72176983789,0.032,,0.2566,0.1568,,0.2737,0.16490000000000002,0.4148,0.44060000000000005,0.25120000000000003,0.2477,0.2924,0.0995,0.0995,
364.0,281826.0975542008,91178.19392061667,312812.29924773355,,38976.18523831386,63806.087017435944,21104.26702000126,36548.89657146245,60668.46802357268,24110.693868364986,22699.909714257537,39818.4256451852,40384.0793401396,34203.72176983789,0.032,,0.2566,0.1568,,0.2737,0.16490000000000002,0.4148,0.44060000000000005,0.25120000000000003,0.2477,0.2924,0.0995,0.0995,
724.0,281826.0975542008,91178.19392061667,312812.29924773355,,38976.18523831386,63806.087017435944,21104.26702000126,36548.89657146245,60668.46802357268,24110.693868364986,22699.909714257537,39818.4256451852,40384.0793401396,34203.72176983789,0.032,,0.2566,0.1568,,0.2737,0.16490000000000002,0.4148,0.44060000000000005,0.25120000000000003,0.2477,0.2924,0.0995,0.0995,
1084.0,281826.0975542008,91178.19392061667,312812.29924773355,,38976.18523831386,63806.087017435944,21104.26702000126,36548.89657146245,60668.46802357268,24110.693868364986,22699.909714257537,39818.4256451852,40384.0793401396,34203.72176983789,0.032,,0.2566,0.1568,,0.2737,0.16490000000000002,0.4148,0.44060000000000005,0.25120000000000003,0.2477,0.2924,0.0995,0.0995,
1444.0,281826.0975542008,91178.19392061667,312812.29924773355,,38976.18523831386,63806.087017435944,21104.26702000126,36548.89657146245,60668.46802357268,24110.693868364986,22699.909714257537,39818.4256451852,40384.0793401396,34203.72176983789,0.032,,0.2566,0.1568,,0.2737,0.16490000000000002,0.4148,0.44060000000000005,0.25120000000000003,0.2477,0.2924,0.0995,0.0995,
