Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,184573.0463456645,36682.77278051176,201429.4438920051,,13554.25098707416,22604.611653979333,87502.08914794533,61283.32073892925,27157.014199545414,77508.45265229132,106174.47021466911,22269.9937658093,84906.98621012797,24358.014514786282,0.0497,,0.7378,0.4424,0.1143,0.1632,0.3683,0.1291,0.0942,0.4491,0.1178,0.4106,0.18660000000000002,0.1142,investor 7
1.0,184494.30566654357,36604.032101390825,201302.92255192666,,13542.332758720564,22623.7308977724,87594.15507839751,61304.55592956859,27157.595152006168,77511.60647442052,106230.09532193249,22291.572411874593,84961.4998621282,24348.1584880378,0.0497,,0.7385,0.44210000000000005,0.11420000000000001,0.1632,0.3683,0.1291,0.0942,0.44870000000000004,0.1178,0.4106,0.18660000000000002,0.1142,investor 7
361.0,189342.29940029836,41452.025835145614,23878.389672024252,,8993.927537637552,29026.946181423562,118190.75720050001,65302.11166428662,27325.670328679935,79784.93706324577,123959.04104744624,29345.462621486735,105138.48844592253,21060.171711438397,2720.0,,1020.0,3310.0,13490.0,7450.0,3120.0,9110.0,0.0942,3350.0,12000.0,2400.0,14020.0,14020.0,
362.0,189454.74593859987,41564.47237344712,23899.023358204922,,8979.88469991852,29045.058078290815,118265.5809136789,65308.1476305549,27326.055512724768,79788.95229130266,124011.03057830442,29365.17156295234,105191.62420724299,21051.176028848662,2720.0,,1020.0,3310.0,13500.0,7450.0,3120.0,9110.0,0.0942,3350.0,12010.0,2400.0,14020.0,14020.0,
363.0,189388.21727613968,41497.94371098693,23886.815498683784,,8966.896084985301,29062.726130778294,118342.14673432994,65323.65337504685,27326.57051959314,79793.04978115276,124061.23150837298,29384.51462659237,105243.90443807024,21041.925744238582,2720.0,,1020.0,3310.0,13510.0,7450.0,3120.0,9110.0,0.0942,3350.0,12010.0,2400.0,14020.0,14020.0,
364.0,188843.07032489285,40952.7967597401,23786.782262585235,,8953.851570476385,29081.083386676633,118417.31717027296,65321.9873927337,27326.929377296143,79799.19117674809,124103.34191656686,29402.267584795154,105297.08994924034,21031.843251966562,2710.0,,1020.0,3320.0,13520.0,7450.0,3120.0,9110.0,0.0942,3350.0,12020.0,2400.0,14020.0,14020.0,
365.0,188948.81418663543,41058.54062148268,23806.18602273371,,8938.122887746178,29097.750701620516,118478.34094071863,65332.071737860824,27328.226861727726,79798.08073296664,124162.15281272467,29422.62796975604,105350.6530691799,21021.873386899137,2710.0,,1020.0,3320.0,13530.0,7460.0,3120.0,9110.0,0.0942,3360.0,12030.0,2334.187980464043,14020.0,14020.0,
