Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,81538.67578760399,36262.95859856615,94224.54959163893,,17225.975224929254,23653.576706238506,36473.38938389935,64865.53195508143,33451.378102350856,44741.21448375288,25949.028581235965,72930.43898529086,27046.762794520255,33853.05392671449,0.1062,,0.5806,0.4228,0.2742,0.1542,0.299,0.22360000000000002,0.3854,0.13720000000000002,0.3698,0.2954,0.2715,0.15410000000000001,investor 8
1.0,81406.88872483846,36131.17153580061,94025.18092853381,,17217.706008626963,23652.99188296388,36493.34585687178,64890.07253764968,33467.402227116276,44761.100763547365,25947.605338920508,72926.88206593109,27058.165424657873,33870.750620632076,0.10640000000000001,,0.5808,0.4228,0.2741,0.1542,0.2988,0.2235,0.3854,0.13720000000000002,0.36960000000000004,0.2953,0.2715,0.15410000000000001,investor 8
361.0,83541.34323381037,38265.62604477253,14986.872691080196,,13903.902658314342,23651.61400983738,43794.3741363125,73556.49617261888,39495.553689147215,51097.06616776212,27106.869060794997,71958.23019891359,31233.6456398288,40088.50999340647,2300.0,,2140.0,3640.0,6740.0,11330.0,6080.0,7870.0,4170.0,0.13720000000000002,4810.0,6170.0,10950.0,10960.0,investor 4
362.0,83462.55854052362,38186.841351485775,14968.50609794838,,13894.111327564922,23651.270865229017,43813.76363410464,73581.65762096483,39513.571756186335,51118.01323552146,27113.338949560763,71953.6310482958,31244.64559510891,40104.10222445332,2300.0,,2140.0,3640.0,6750.0,11330.0,6080.0,7870.0,4170.0,0.13720000000000002,4810.0,6180.0,10950.0,10960.0,investor 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,130294.28627353777,-42995.9841784101,117664.85193496216,,33482.105411934324,60950.88896592075,92121.01832307476,24750.551209310797,72085.27029599671,68575.00907967701,28831.25187739551,39114.05108189396,22605.29687921263,21170.394535239288,0.085,,0.2987,0.1641,0.1086,0.4041,0.1388,0.1459,0.34690000000000004,0.25570000000000004,0.4424,0.47240000000000004,-1.3388,-1.3388,
1.0,130221.69595431788,-43068.57449762999,117537.18639961373,,33470.897259917525,60964.70355780507,92178.81956716187,24745.748605895657,72145.3664095079,68625.47126846829,28854.89587313764,39138.93269577685,22618.65748256886,21188.110400254736,0.08510000000000001,,0.2988,0.1641,0.1085,0.4042,0.13870000000000002,0.1458,0.3466,0.2556,0.44220000000000004,0.47200000000000003,-1.3388,-1.3388,
