Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,72548.21583238603,25448.513479937246,78766.95810047121,,71206.18359491661,21131.187430602906,40810.64985024506,14290.623322546237,38095.57613444256,42734.18004327175,32087.75074055744,29409.85863381368,34895.152920184926,40451.62401968969,0.127,,0.1405,0.4733,0.2451,0.6998000000000001,0.2625,0.2341,0.31170000000000003,0.3401,0.2866,0.24730000000000002,0.3774,0.234,investor 1
1.0,72632.21912139912,25532.51676895033,78893.24785787046,,71253.69444263222,21146.07346301848,40831.63567408591,14295.432020931505,38097.53614660316,42755.77370816582,32127.601903603794,29439.00477537305,34918.92231081582,40461.29766529123,0.1268,,0.1404,0.47300000000000003,0.24500000000000002,0.6996,0.2625,0.23390000000000002,0.3113,0.3397,0.2864,0.2472,0.3774,0.23380000000000004,investor 1
2.0,72651.16284591943,25551.460493470644,78921.72767576827,,71301.1592487831,21161.45821628559,40847.68304670593,14300.54555976723,38099.10694408956,42778.253063652184,32167.42966683062,29466.20648509388,34942.26786472433,40479.947061494284,0.1268,,0.1403,0.4726,0.2449,0.6993,0.2625,0.2338,0.3109,0.33940000000000003,0.2862,0.24710000000000001,0.3774,0.23370000000000002,investor 1
3.0,72570.16860794958,25470.466255500796,78799.96169750571,,71348.51424804376,21177.261411007454,40869.20340959107,14307.470096455463,38100.84905065604,42800.00227805436,32207.15816899603,29491.530116714242,34965.864054782476,40491.070348598405,0.127,,0.14020000000000002,0.4723,0.2447,0.6990000000000001,0.2625,0.23370000000000002,0.3105,0.3391,0.28600000000000003,0.24700000000000003,0.3774,0.23370000000000002,investor 1
363.0,72248.23005243421,25148.527699985425,18302.440387276947,,87432.30965700207,26259.644243386854,47873.12155167088,16519.068079983284,38807.226063912545,50445.752346781366,45977.470552569415,38668.19358828025,42889.86887444954,44718.62715876387,4270.0,,0.14020000000000002,6130.0,11180.0,3860.0,9060.0,11780.0,10740.0,9030.0,10020.0,10450.0,18240.0,18240.0,
364.0,72418.61206168853,25318.909709239742,18362.302809569614,,87470.30594556074,26272.349081021282,47892.08108446181,16525.715628862716,38809.01629296344,50464.861749210984,46011.235245654425,38693.42725331952,42911.211696611776,44724.282444138575,4290.0,,0.14020000000000002,6130.0,11190.0,3860.0,9060.0,11790.0,10750.0,9040.0,10020.0,10450.0,18240.0,18240.0,
365.0,72391.90453880376,25292.202186354974,18352.91932465641,,87508.26244984762,26285.76636730547,47914.63868130688,16531.275895600542,38810.7664825204,50484.294208375795,46045.14920875451,38718.388682173456,42931.32131007829,44740.081735481406,4280.0,,0.14020000000000002,6140.0,11190.0,3860.0,9070.0,11790.0,10760.0,9040.0,10030.0,10450.0,18240.0,18240.0,
366.0,72590.12995184085,25490.42759939206,18422.564314971394,,87546.0774198764,26298.722051319943,47933.2527623559,16538.058086186753,38812.77732789507,50505.53521002607,46079.047986415804,38743.62021553238,42950.85092679273,44757.90300299229,4300.0,,0.14020000000000002,6140.0,11200.0,3860.0,9070.0,11800.0,10760.0,9050.0,10030.0,10450.0,18240.0,18240.0,
367.0,72522.88417434812,25423.18182189933,18398.93802281011,,87583.80644242438,26312.415373219344,47953.714632213705,16543.173471639042,38814.783190076705,50528.41951289208,46112.8856015706,38765.40527640874,42972.57922004441,44767.81884079178,4290.0,,0.14020000000000002,6140.0,11200.0,3860.0,9070.0,11800.0,10770.0,9050.0,10040.0,10460.0,18240.0,18240.0,
