Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,266555.8677839997,664740.2129442162,,11285.66004746173,599806.4210135625,882511.1954690136,114500.01521480283,432.9801051351083,139585.57520024155,306393.01044897817,16719.53911659753,455732.7429286136,2820.710344279929,0.016,,0.887,0.017,0.012,0.088,23.096,0.07200000000000001,0.033,0.599,0.022,3.5460000000000003,0.057,0.016,investor 3
1.0,266083.5569071055,663451.8817940633,,11282.361065266708,600423.3048452644,882878.2825923248,114593.82030934768,432.9000424871693,139732.9924641339,306563.52280658373,16717.66098881829,456185.6263794411,2824.046379118921,0.016,,0.887,0.017,0.012,0.088,23.101,0.07200000000000001,0.033,0.599,0.022,3.5420000000000003,0.057,0.016,investor 3
361.0,266083.5569071055,663451.8817940633,,11282.361065266708,600423.3048452644,882878.2825923248,114593.82030934768,432.9000424871693,139732.9924641339,306563.52280658373,16717.66098881829,456185.6263794411,2824.046379118921,0.016,,0.887,0.017,0.012,0.088,23.101,0.07200000000000001,0.033,0.599,0.022,3.5420000000000003,0.057,0.016,investor 3
721.0,266083.5569071055,663451.8817940633,,11282.361065266708,600423.3048452644,882878.2825923248,114593.82030934768,432.9000424871693,139732.9924641339,306563.52280658373,16717.66098881829,456185.6263794411,2824.046379118921,0.016,,0.887,0.017,0.012,0.088,23.101,0.07200000000000001,0.033,0.599,0.022,3.5420000000000003,0.057,0.016,investor 3
1081.0,266083.5569071055,663451.8817940633,,11282.361065266708,600423.3048452644,882878.2825923248,114593.82030934768,432.9000424871693,139732.9924641339,306563.52280658373,16717.66098881829,456185.6263794411,2824.046379118921,0.016,,0.887,0.017,0.012,0.088,23.101,0.07200000000000001,0.033,0.599,0.022,3.5420000000000003,0.057,0.016,investor 3
1441.0000000000002,266083.5569071055,663451.8817940633,,11282.361065266708,600423.3048452644,882878.2825923248,114593.82030934768,432.9000424871693,139732.9924641339,306563.52280658373,16717.66098881829,456185.6263794411,2824.046379118921,0.016,,0.887,0.017,0.012,0.088,23.101,0.07200000000000001,0.033,0.599,0.022,3.5420000000000003,0.057,0.016,investor 3
