Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,334183.7596049841,650755.702478754,,316229.40380366496,1670490.665406345,65430.77712543364,32235.66168543564,365605.8109331819,45035.83393834193,26346.895934494452,14692.046962046525,25130.405950641863,44832.37542066356,0.016,,0.032,0.006,0.153,0.311,0.028,0.223,0.38,0.681,0.398,0.224,0.057,0.027,investor 2
1.0,334877.78600482456,652323.7940945689,,316157.0608773215,1670016.5146239006,65438.95183503616,32246.43252378703,365641.8961985367,45073.69533547231,26368.894929577153,14699.423945122151,25145.45959832766,44892.80006119285,0.016,,0.032,0.006,0.153,0.311,0.028,0.222,0.38,0.681,0.398,0.223,0.057,0.027,investor 2
361.0,334877.78600482456,652323.7940945689,,316157.0608773215,1670016.5146239006,65438.95183503616,32246.43252378703,365641.8961985367,45073.69533547231,26368.894929577153,14699.423945122151,25145.45959832766,44892.80006119285,0.016,,0.032,0.006,0.153,0.311,0.028,0.222,0.38,0.681,0.398,0.223,0.057,0.027,investor 2
721.0,334877.78600482456,652323.7940945689,,316157.0608773215,1670016.5146239006,65438.95183503616,32246.43252378703,365641.8961985367,45073.69533547231,26368.894929577153,14699.423945122151,25145.45959832766,44892.80006119285,0.016,,0.032,0.006,0.153,0.311,0.028,0.222,0.38,0.681,0.398,0.223,0.057,0.027,investor 2
1081.0,334877.78600482456,652323.7940945689,,316157.0608773215,1670016.5146239006,65438.95183503616,32246.43252378703,365641.8961985367,45073.69533547231,26368.894929577153,14699.423945122151,25145.45959832766,44892.80006119285,0.016,,0.032,0.006,0.153,0.311,0.028,0.222,0.38,0.681,0.398,0.223,0.057,0.027,investor 2
1441.0000000000002,334877.78600482456,652323.7940945689,,316157.0608773215,1670016.5146239006,65438.95183503616,32246.43252378703,365641.8961985367,45073.69533547231,26368.894929577153,14699.423945122151,25145.45959832766,44892.80006119285,0.016,,0.032,0.006,0.153,0.311,0.028,0.222,0.38,0.681,0.398,0.223,0.057,0.027,investor 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,94333.89463044555,170862.85994374627,,29720.36047945333,241791.28281340376,606293.5171118856,6546.0125338400985,35709.458987528815,111082.3800343073,120501.87263300091,10998.039024355578,67505.89491848499,100879.24659084804,0.059000000000000004,,0.337,0.042,0.017,1.528,0.281,0.091,0.083,0.91,0.149,0.1,0.268,0.041,investor 3
1.0,94148.61516646102,170438.2972127843,,29750.42725652535,241934.65967640933,606327.2541965438,6550.901124633062,35688.976642002475,111182.34345999478,120553.90623520875,11004.705557130967,67550.14322046089,100938.36244741015,0.059000000000000004,,0.337,0.042,0.017,1.5270000000000001,0.281,0.09,0.083,0.909,0.149,0.1,0.268,0.041,investor 3
361.0,94148.61516646102,170438.2972127843,,29750.42725652535,241934.65967640933,606327.2541965438,6550.901124633062,35688.976642002475,111182.34345999478,120553.90623520875,11004.705557130967,67550.14322046089,100938.36244741015,0.059000000000000004,,0.337,0.042,0.017,1.5270000000000001,0.281,0.09,0.083,0.909,0.149,0.1,0.268,0.041,investor 3
721.0,94148.61516646102,170438.2972127843,,29750.42725652535,241934.65967640933,606327.2541965438,6550.901124633062,35688.976642002475,111182.34345999478,120553.90623520875,11004.705557130967,67550.14322046089,100938.36244741015,0.059000000000000004,,0.337,0.042,0.017,1.5270000000000001,0.281,0.09,0.083,0.909,0.149,0.1,0.268,0.041,investor 3
1081.0,94148.61516646102,170438.2972127843,,29750.42725652535,241934.65967640933,606327.2541965438,6550.901124633062,35688.976642002475,111182.34345999478,120553.90623520875,11004.705557130967,67550.14322046089,100938.36244741015,0.059000000000000004,,0.337,0.042,0.017,1.5270000000000001,0.281,0.09,0.083,0.909,0.149,0.1,0.268,0.041,investor 3
1441.0000000000002,94148.61516646102,170438.2972127843,,29750.42725652535,241934.65967640933,606327.2541965438,6550.901124633062,35688.976642002475,111182.34345999478,120553.90623520875,11004.705557130967,67550.14322046089,100938.36244741015,0.059000000000000004,,0.337,0.042,0.017,1.5270000000000001,0.281,0.09,0.083,0.909,0.149,0.1,0.268,0.041,investor 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
