Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,200456.93279736224,348085.1297756181,,34369.68911783381,144251.17985768933,96655.64099845085,928026.4843012851,58487.77601081498,1382.3531592978627,3893.897741824839,7661.10712535113,4238.259087904528,4401.425540678776,0.029,,0.291,0.07,0.10400000000000001,0.011,0.171,7.235,2.569,1.306,2.36,2.2720000000000002,0.329,0.069,investor 4
1.0,200211.2510616124,347486.56417818955,,34401.17276249859,144182.86680882852,96745.61016317262,928184.7358780075,58503.35592305591,1382.9493350770679,3897.2522018818026,7662.141978825453,4240.470079059114,4401.930744409388,0.029,,0.291,0.07,0.10400000000000001,0.011,0.171,7.231,2.566,1.306,2.359,2.2720000000000002,0.329,0.069,investor 4
361.0,200211.2510616124,347486.56417818955,,34401.17276249859,144182.86680882852,96745.61016317262,928184.7358780075,58503.35592305591,1382.9493350770679,3897.2522018818026,7662.141978825453,4240.470079059114,4401.930744409388,0.029,,0.291,0.07,0.10400000000000001,0.011,0.171,7.231,2.566,1.306,2.359,2.2720000000000002,0.329,0.069,investor 4
721.0,200211.2510616124,347486.56417818955,,34401.17276249859,144182.86680882852,96745.61016317262,928184.7358780075,58503.35592305591,1382.9493350770679,3897.2522018818026,7662.141978825453,4240.470079059114,4401.930744409388,0.029,,0.291,0.07,0.10400000000000001,0.011,0.171,7.231,2.566,1.306,2.359,2.2720000000000002,0.329,0.069,investor 4
1081.0,200211.2510616124,347486.56417818955,,34401.17276249859,144182.86680882852,96745.61016317262,928184.7358780075,58503.35592305591,1382.9493350770679,3897.2522018818026,7662.141978825453,4240.470079059114,4401.930744409388,0.029,,0.291,0.07,0.10400000000000001,0.011,0.171,7.231,2.566,1.306,2.359,2.2720000000000002,0.329,0.069,investor 4
1441.0000000000002,200211.2510616124,347486.56417818955,,34401.17276249859,144182.86680882852,96745.61016317262,928184.7358780075,58503.35592305591,1382.9493350770679,3897.2522018818026,7662.141978825453,4240.470079059114,4401.930744409388,0.029,,0.291,0.07,0.10400000000000001,0.011,0.171,7.231,2.566,1.306,2.359,2.2720000000000002,0.329,0.069,investor 4
