Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,257763.41371305127,594055.080963229,,114393.53300711032,7074.3525805702575,2129548.87821104,528394.1861373645,47842.253638586044,1032.787657474852,28973.312602377675,48191.56895847697,171.28001540835288,875.6409260961182,0.017,,0.088,1.414,0.005,0.019,0.21,9.683,0.34600000000000003,0.20800000000000002,58.384,11.421,0.069,0.018,investor 3
1.0,258099.46827167817,594935.1068867745,,114471.62258531763,7082.990818414521,2129755.879435107,528511.9545289127,47843.683476225684,1034.160459678892,29013.708388151805,48227.01131263974,171.3834647899384,876.014130678522,0.017,,0.088,1.412,0.005,0.019,0.21,9.67,0.34500000000000003,0.20800000000000002,58.349000000000004,11.416,0.069,0.018,investor 3
361.0,258099.46827167817,594935.1068867745,,114471.62258531763,7082.990818414521,2129755.879435107,528511.9545289127,47843.683476225684,1034.160459678892,29013.708388151805,48227.01131263974,171.3834647899384,876.014130678522,0.017,,0.088,1.412,0.005,0.019,0.21,9.67,0.34500000000000003,0.20800000000000002,58.349000000000004,11.416,0.069,0.018,investor 3
721.0,258099.46827167817,594935.1068867745,,114471.62258531763,7082.990818414521,2129755.879435107,528511.9545289127,47843.683476225684,1034.160459678892,29013.708388151805,48227.01131263974,171.3834647899384,876.014130678522,0.017,,0.088,1.412,0.005,0.019,0.21,9.67,0.34500000000000003,0.20800000000000002,58.349000000000004,11.416,0.069,0.018,investor 3
1081.0,258099.46827167817,594935.1068867745,,114471.62258531763,7082.990818414521,2129755.879435107,528511.9545289127,47843.683476225684,1034.160459678892,29013.708388151805,48227.01131263974,171.3834647899384,876.014130678522,0.017,,0.088,1.412,0.005,0.019,0.21,9.67,0.34500000000000003,0.20800000000000002,58.349000000000004,11.416,0.069,0.018,investor 3
1441.0000000000002,258099.46827167817,594935.1068867745,,114471.62258531763,7082.990818414521,2129755.879435107,528511.9545289127,47843.683476225684,1034.160459678892,29013.708388151805,48227.01131263974,171.3834647899384,876.014130678522,0.017,,0.088,1.412,0.005,0.019,0.21,9.67,0.34500000000000003,0.20800000000000002,58.349000000000004,11.416,0.069,0.018,investor 3
