Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,222202.8858480147,108621.35331077702,282838.87184401456,,43149.391027519305,26054.581129545648,49722.412125102695,93170.5585498726,17159.083130847805,48574.319545814426,258757.86643159663,104788.79912414293,26484.518887904196,38680.55529507058,0.036000000000000004,,0.232,0.384,0.202,0.108,0.583,0.20600000000000002,0.039,0.096,0.378,0.259,0.1,0.095,investor 7
1.0,221838.83425857298,108257.3017213353,282255.75632245385,,43178.058295721545,26048.184454897255,49761.2903750334,93217.70804325177,17167.92979773585,48574.672268206625,258823.13878164988,104845.37719950633,26490.604485139444,38689.18538479634,0.036000000000000004,,0.232,0.384,0.201,0.108,0.583,0.20600000000000002,0.039,0.096,0.378,0.259,0.1,0.095,investor 7
361.0,231500.2945701721,117918.7620329344,28284.434669125276,,53701.41652320016,23361.81722921164,64588.50260618845,109121.03908383864,20153.43058854316,49444.55200849317,278874.7236031677,126082.75978906438,28939.98277158906,42154.667904000315,2600.0,,5100.0,2200.0,6100.0,10300.0,1900.0,4600.0,0.039,11900.0,2700.0,4000.0,25100.0,25100.0,
362.0,231888.0896869057,118306.55714966802,28343.443581706764,,53729.53818236061,23355.42350847782,64622.90066096074,109161.68422993303,20161.629265447697,49445.00125689302,278923.1554397865,126137.61132595899,28942.837434533547,42166.45039424704,2600.0,,5100.0,2200.0,6100.0,10300.0,1900.0,4600.0,0.039,11900.0,2700.0,4000.0,25100.0,25100.0,
363.0,232232.7601653603,118651.22762812261,28395.890426071026,,53757.937399667186,23345.465169747127,64651.80216951694,109201.23963740314,20169.74720827406,49448.355186563225,278975.6976100535,126196.24871455421,28947.588950723748,42177.13550018057,2600.0,,5100.0,2200.0,6100.0,10300.0,1900.0,4600.0,0.039,11900.0,2700.0,4000.0,25100.0,25100.0,
364.0,232431.33882563963,118849.80628840195,28426.10718306289,,53786.0601680426,23338.259803484914,64694.262129416624,109247.15328773968,20177.870544992635,49448.0494428653,279029.9858830087,126254.22466512102,28950.947083104893,42183.49217985042,2700.0,,5100.0,2200.0,6100.0,10300.0,1900.0,4600.0,0.039,11900.0,2700.0,4000.0,25100.0,25100.0,
365.0,232034.0962749334,118452.56373769572,28365.66070001867,,53813.971677179776,23332.938746173342,64735.026935446534,109287.72509238179,20186.066286316713,49450.19517956973,279084.97777725605,126308.91558153485,28960.303776636025,42192.87244648112,2600.0,,5100.0,2200.0,6100.0,10300.0,1900.0,4600.0,0.039,11900.0,2700.0,4000.0,25100.0,25100.0,
