Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,401436.64084909804,301896.82472831267,598610.7654468924,,79823.18827825466,21585.458918042947,22910.740814871748,52243.3025788145,105163.5567707636,51896.344396512795,20710.794926633414,37752.89418983419,66492.14345024893,48524.94203304447,0.017,,0.126,0.464,0.437,0.192,0.096,0.193,0.483,0.265,0.151,0.20700000000000002,0.041,0.041,
1.0,401167.57772263396,301627.7616018485,598166.6244670425,,79878.37391896224,21591.380436283653,22924.424510579825,52249.68479383893,105160.94872310427,51933.43331351233,20725.492221653607,37796.02594326876,66496.17429048623,48563.35633043223,0.017,,0.126,0.464,0.437,0.192,0.096,0.193,0.483,0.265,0.151,0.20600000000000002,0.041,0.041,
2.0,402653.0543350218,303113.23821423645,600618.6923027224,,79932.42060033842,21593.486126622924,22938.441837332994,52255.91984834189,105166.50777997037,51970.46951914911,20740.000583618,37838.60975918193,66500.21391111022,48601.22235674421,0.017,,0.126,0.464,0.436,0.192,0.096,0.193,0.483,0.265,0.151,0.20600000000000002,0.041,0.041,
3.0,402495.04456367454,302955.2284428892,600357.8664675576,,79988.03536653235,21595.204147936733,22951.4615716814,52261.77626362611,105171.76876889906,52008.17482370116,20754.621261764463,37878.67571532127,66504.23420980282,48646.34223169193,0.017,,0.126,0.464,0.436,0.192,0.096,0.193,0.482,0.265,0.151,0.20600000000000002,0.041,0.041,
4.0,402386.28568620037,302846.46956541494,600178.3388041295,,80043.74593376441,21597.761058273056,22966.383154259383,52267.00701196106,105174.65911841547,52044.23933525722,20769.28033993035,37920.29566679779,66508.09438404685,48689.10990509905,0.017,,0.125,0.464,0.436,0.192,0.096,0.193,0.482,0.264,0.151,0.20600000000000002,0.041,0.041,
364.0,402386.28568620037,302846.46956541494,600178.3388041295,,80043.74593376441,21597.761058273056,22966.383154259383,52267.00701196106,105174.65911841547,52044.23933525722,20769.28033993035,37920.29566679779,66508.09438404685,48689.10990509905,0.017,,0.125,0.464,0.436,0.192,0.096,0.193,0.482,0.264,0.151,0.20600000000000002,0.041,0.041,
724.0,402386.28568620037,302846.46956541494,600178.3388041295,,80043.74593376441,21597.761058273056,22966.383154259383,52267.00701196106,105174.65911841547,52044.23933525722,20769.28033993035,37920.29566679779,66508.09438404685,48689.10990509905,0.017,,0.125,0.464,0.436,0.192,0.096,0.193,0.482,0.264,0.151,0.20600000000000002,0.041,0.041,
1084.0,402386.28568620037,302846.46956541494,600178.3388041295,,80043.74593376441,21597.761058273056,22966.383154259383,52267.00701196106,105174.65911841547,52044.23933525722,20769.28033993035,37920.29566679779,66508.09438404685,48689.10990509905,0.017,,0.125,0.464,0.436,0.192,0.096,0.193,0.482,0.264,0.151,0.20600000000000002,0.041,0.041,
1444.0,402386.28568620037,302846.46956541494,600178.3388041295,,80043.74593376441,21597.761058273056,22966.383154259383,52267.00701196106,105174.65911841547,52044.23933525722,20769.28033993035,37920.29566679779,66508.09438404685,48689.10990509905,0.017,,0.125,0.464,0.436,0.192,0.096,0.193,0.482,0.264,0.151,0.20600000000000002,0.041,0.041,
