Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,99178.9269766966,19273.950645796183,114424.15088191646,,52074.55661690113,81575.26046516252,15337.225654467551,16885.158053041814,31632.51848077778,125950.73713980649,116443.85723767242,17463.553137631327,46831.83829261648,39924.26770910088,0.088,,0.193,0.123,0.653,0.593,0.317,0.08,0.08600000000000001,0.5730000000000001,0.214,0.251,0.364,0.085,investor 6
1.0,99187.80431026024,19282.82797935982,114438.994091344,,52097.10567061115,81607.54156911129,15346.848838731887,16899.784933700204,31659.116659766925,125924.57538780088,116480.71099192667,17474.206963901972,46836.23731339861,39963.10600622322,0.088,,0.192,0.123,0.652,0.592,0.316,0.08,0.08600000000000001,0.5730000000000001,0.214,0.251,0.364,0.085,investor 6
361.0,96838.8954293107,16933.919098410275,9393.480647016608,,60204.37743586346,92680.88936250517,18561.488898976197,21902.54020664207,40854.67229568821,112086.40095600422,129085.569687124,21452.224896270414,49489.48251541925,54096.91226789005,700.0,,5100.0,7800.0,1500.0,1800.0,3400.0,0.08,10900.0,1800.0,4200.0,4500.0,9200.0,9300.0,investor 7
362.0,96893.75936152486,16988.783030624443,9401.278070708415,,60226.689684785604,92715.51436322066,18571.1162134073,21916.16286247208,40880.04471427869,112042.21250342025,129125.07153859813,21463.667004083683,49497.7358808205,54134.379990066656,700.0,,5100.0,7800.0,1500.0,1800.0,3400.0,0.08,10900.0,1800.0,4200.0,4600.0,9200.0,9300.0,investor 7
