361.0,188798.71820652043,68139.50000885279,30314.26615114577,,69302.88569706614,88450.79251682085,259534.24030476267,63051.995297013804,58996.67913222209,9733.658264442445,94308.57698294304,8475.072989826056,65521.70712483828,76739.85139214496,3500.0,,8100.0,10300.0,0.047,7300.0,6900.0,1100.0,11000.0,900.0,7600.0,8900.0,30400.0,30400.0,
362.0,188635.23343617012,67976.01523850248,30280.151940703337,,69322.16071841499,88509.74511831766,259645.41583822135,63073.46112128,59010.09751557389,9743.917586205818,94332.09323258964,8478.39333069722,65490.48131788401,76753.95491905889,3500.0,,8100.0,10300.0,0.047,7300.0,6900.0,1100.0,11000.0,900.0,7600.0,8900.0,30400.0,30400.0,
363.0,188678.41281291138,68019.19461524374,30289.162139890497,,69341.4681655558,88553.15448652014,259759.15653289674,63087.8741552822,59023.099242580734,9752.675838260126,94358.13285819576,8482.73842619427,65459.47871109226,76770.27485918939,3500.0,,8100.0,10300.0,0.047,7300.0,6900.0,1100.0,11000.0,900.0,7600.0,8900.0,30400.0,30400.0,
364.0,189099.62153547563,68440.40333780799,30377.05536059207,,69360.75506611021,88613.51021307775,259870.964763512,63102.9383281089,59036.810295879695,9760.426130033236,94381.3315943413,8487.144192928698,65427.71303619593,76788.57770468426,3500.0,,8100.0,10300.0,0.047,7300.0,6900.0,1100.0,11000.0,900.0,7600.0,8900.0,30400.0,30400.0,
365.0,189322.4594191889,68663.24122152127,30423.55472835123,,69379.75839986473,88662.31655455714,259979.7425275009,63120.78789641004,59050.83096162913,9768.810513365963,94405.43971452143,8491.017069450681,65395.96666727138,76805.6522422135,3500.0,,8100.0,10300.0,0.047,7300.0,6900.0,1100.0,11000.0,900.0,7600.0,8900.0,30400.0,30400.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,187204.3082247419,21419.105643500952,172366.2083387586,,38899.061342164925,12177.695710012558,37726.4079011923,22095.81436593695,29373.985337440314,68858.48350432815,27797.73280005303,76484.7184807263,26581.97578658636,89552.4420116849,0.059000000000000004,,0.258,0.8220000000000001,0.266,0.453,0.341,0.146,0.36,0.131,0.377,0.112,0.219,0.13,investor 10
1.0,187197.12887473367,21411.926293492725,172355.5077001719,,38927.90154101523,12180.366748847619,37751.600172652616,22107.80168019787,29363.491528340055,68873.87787257631,27792.32482686623,76495.26711764713,26589.198108713426,89590.88731810133,0.059000000000000004,,0.257,0.8210000000000001,0.265,0.453,0.341,0.146,0.36,0.131,0.377,0.112,0.219,0.13,investor 10
361.0,189223.53622851736,23438.33364727642,22798.856121738816,,49300.48395003404,13130.26803091093,45754.30759848869,26355.7049071197,25617.978692858364,73932.16099093408,25667.73606366155,80422.68402012852,29128.85679372836,102973.55598775485,2900.0,,6400.0,1700.0,5900.0,3400.0,3300.0,9600.0,3300.0,10400.0,3700.0,0.112,12300.0,12300.0,
362.0,188992.69827064467,23207.49568940373,22754.128568082917,,49330.182529068385,13133.266848846015,45777.52680908241,26370.37182728636,25607.176512608858,73943.96411130077,25661.622867581846,80431.02289276065,29135.63713724289,103009.24390625092,2900.0,,6400.0,1700.0,5900.0,3400.0,3300.0,9600.0,3300.0,10400.0,3700.0,0.112,12300.0,12300.0,
363.0,188925.62832983842,23140.42574859748,22741.132982765164,,49358.12847839894,13136.184477341843,45798.517235089246,26380.44756891312,25596.12258600879,73969.62871240696,25655.542110237988,80444.10501471172,29142.778461852762,103046.07872200344,2900.0,,6400.0,1700.0,5900.0,3400.0,3300.0,9600.0,3300.0,10400.0,3700.0,0.112,12300.0,12300.0,
364.0,188953.189796882,23167.98721564107,22746.473339296597,,49387.51576259379,13137.242123451828,45814.40130059401,26393.61078345856,25585.114575960313,73983.1067670823,25649.555435945247,80455.22383983839,29149.749813511742,103082.12802905503,2900.0,,6400.0,1700.0,5900.0,3400.0,3300.0,9600.0,3300.0,10400.0,3700.0,0.112,12300.0,12300.0,
365.0,188818.887903885,23033.685322644073,22720.450777060858,,49413.47713752061,13138.893916419944,45838.16897247278,26412.33645159793,25574.43534359109,73988.24096688404,25643.534066073804,80469.0129878053,29156.690993709544,103117.53739014732,2900.0,,6400.0,1700.0,5900.0,3400.0,3300.0,9600.0,3300.0,10400.0,3700.0,0.112,12300.0,12300.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,84869.85457224422,25310.677592621934,87223.14856698878,,30565.955446008516,15747.53987177978,6198.457174574316,19475.46900382167,55251.15379526535,16596.290960807877,52321.48837145719,21635.960787603988,37211.64427438789,36755.370430844916,0.115,,0.328,0.636,1.614,0.514,0.181,0.603,0.192,0.463,0.269,0.273,0.355,0.191,investor 5
1.0,84937.24473072565,25378.067751103365,87322.83268320847,,30570.70770112246,15764.059317522284,6199.000430491977,19485.880400009075,55278.78125945689,16599.622855295765,52363.02837283366,21642.949848443506,37252.03643126915,36793.04541721498,0.115,,0.328,0.635,1.614,0.514,0.181,0.603,0.191,0.463,0.269,0.272,0.355,0.191,investor 5
361.0,84390.68476568148,24831.507786059192,16524.242066100633,,32430.273817334804,20546.81605287484,6409.0941616456075,23155.40331697591,65257.20211447972,18135.858313656136,64260.774291694695,23957.589266663494,51318.63226430237,49876.05732307074,3100.0,,6100.0,3900.0,1200.0,4400.0,0.181,3400.0,12200.0,4500.0,9800.0,9500.0,11200.0,11300.0,investor 7
362.0,84501.77133849876,24942.59435887647,16555.627231430066,,32434.81860192515,20561.0107001252,6409.672532885962,23165.718868577474,65281.09815194342,18141.380722861555,64295.38388799916,23964.843967671346,51357.0901324556,49909.924678538526,3100.0,,6100.0,3900.0,1200.0,4400.0,0.181,3400.0,12200.0,4500.0,9800.0,9500.0,11200.0,11300.0,investor 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,192435.59084922797,138672.82844713557,294438.7777664651,,70017.07697539026,47156.18827408375,31296.178759674294,48886.87792053833,165929.87790369874,13377.201610869603,84193.07406504893,31959.55027590821,65386.86689364361,106631.46019907558,0.034,,0.14300000000000002,0.213,0.32,0.20500000000000002,0.061,0.748,0.11900000000000001,0.313,0.153,0.094,0.084,0.083,investor 5
1.0,192868.04637900015,139105.28397690775,295178.1911287299,,70021.6843712323,47197.861078873946,31298.314137871996,48908.93931328776,165908.44868818656,13379.487917634346,84239.85545793294,31969.76873633996,65412.37715093294,106660.74290122914,0.034,,0.14300000000000002,0.212,0.32,0.20500000000000002,0.061,0.748,0.11900000000000001,0.313,0.153,0.094,0.084,0.083,investor 5
361.0,217465.24466670112,163702.48226460873,27990.466139962224,,70320.17170808993,62198.10789732128,32210.844597227457,58082.880670104154,159569.86328928708,14563.840586807442,98218.01471381445,33409.856720915246,75439.13020259122,118988.28898654111,2300.0,,5800.0,5100.0,2600.0,4800.0,0.061,1200.0,8100.0,2700.0,6200.0,9800.0,12500.0,12500.0,
362.0,217195.94234048488,163433.17993839248,27952.24848483442,,70315.19895172007,62237.28160051899,32211.265822471698,58105.206649150234,159542.80020769103,14565.436369583218,98260.02807902779,33410.39982332091,75467.98328580112,119021.4631409039,2300.0,,5800.0,5100.0,2600.0,4800.0,0.061,1200.0,8100.0,2700.0,6200.0,9800.0,12500.0,12500.0,
363.0,217424.04338956182,163661.28098746942,27984.61911954224,,70316.43943910507,62276.80142579038,32214.450403038616,58131.2548155345,159521.57518383826,14569.39097345314,98290.91939442145,33417.47973039249,75493.2941466159,119046.12454774774,2300.0,,5800.0,5100.0,2600.0,4800.0,0.061,1200.0,8100.0,2700.0,6200.0,9800.0,12500.0,12500.0,
364.0,217188.68787619137,163425.92547409897,27951.21897789179,,70315.13040261803,62316.01406129266,32215.427888793132,58156.63928997582,159502.033346957,14571.336450774344,98335.39091850515,33422.503459511114,75518.1870749474,119083.57039293702,2300.0,,5800.0,5100.0,2600.0,4800.0,0.061,1200.0,8100.0,2700.0,6200.0,9800.0,12500.0,12500.0,
365.0,216729.7439041012,162966.9815020088,27886.088599351206,,70326.12108573265,62355.20615330403,32218.486132048263,58182.44144427015,159473.01796284397,14575.47224548748,98378.7860281914,33429.12238712967,75546.007890072,119122.63768210498,2300.0,,5800.0,5100.0,2600.0,4800.0,0.061,1200.0,8100.0,2700.0,6200.0,9800.0,12500.0,12500.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,122688.85304034891,34121.16667449527,144032.08063611126,,23327.469535244567,58882.275533798136,46014.30280160943,49425.721306266656,54479.45728044855,32659.653997080724,75083.6155639988,28531.715078937093,11131.895202721442,29191.963993239424,0.07,,0.429,0.17,0.218,0.203,0.184,0.307,0.134,0.35100000000000003,0.899,0.343,0.24,0.169,investor 7
1.0,122615.8278938878,34048.14152803416,143912.43729189062,,23349.19118514387,58910.30201520861,46059.96462883426,49463.00386383626,54535.83505417007,32684.965367476194,75093.43854689998,28534.75004998258,11146.376746108013,29206.428218431814,0.07,,0.429,0.17,0.218,0.203,0.184,0.306,0.134,0.35100000000000003,0.898,0.343,0.24,0.169,investor 7
361.0,127361.53679497195,38793.850429118305,25635.22774661111,,31217.06425700279,69479.27585541685,61556.12834285324,62549.54819800768,73496.64416156814,41140.79172614563,79565.3255317067,29912.434082075655,16256.67262657909,34320.36699282078,4300.0,,5200.0,11700.0,10400.0,10500.0,12400.0,6900.0,0.134,5000.0,2700.0,5800.0,11900.0,12000.0,investor 5
362.0,127514.24449680996,38946.55813095631,25677.510547983555,,31237.911771865867,69507.3579421454,61596.54635366228,62584.43114015595,73545.50903598873,41163.96785425489,79581.32316535598,29916.860804619897,16271.478470985487,34334.36554141899,4300.0,,5200.0,11700.0,10400.0,10500.0,12400.0,6900.0,0.134,5000.0,2700.0,5800.0,11900.0,12000.0,investor 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,1062286.9344604316,815602.4896282387,1689993.60671867,,55540.597685465684,91104.65072605107,33212.153462594346,48552.90718359091,46268.641181602514,21123.83382692205,55206.91326026271,16117.263341203789,93143.63107279838,136122.00737272695,0.006,,0.181,0.11,0.302,0.20600000000000002,0.217,0.47400000000000003,0.182,0.621,0.108,0.074,0.016,0.016,
