Time,Home Value,Equity,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,190434.3159539508,12107.181090456172,197256.47510728007,,26263.431016705093,100528.75824934398,38545.513285640074,19325.41796759628,49506.00100279334,11891.41086783291,6065.557750710309,27231.362433990365,28747.722924144477,9385.983727230147,0.051000000000000004,,0.381,0.1,0.26,0.518,0.202,0.841,1.649,0.368,0.34800000000000003,1.066,0.254,0.201,investor 2
1.0,190344.70085021693,12017.5659867223,197109.66161260311,,26243.587882078653,100528.6270799127,38579.690778485136,19343.26196312498,49484.31322560775,11891.193172543732,6069.6078402875355,27269.35810183624,28765.25608682562,9388.979825038785,0.051000000000000004,,0.382,0.1,0.26,0.517,0.203,0.841,1.6480000000000001,0.367,0.34800000000000003,1.066,0.254,0.201,investor 2
361.0,198904.6048493081,20577.469985813455,42437.747569873034,,17976.783047463035,100579.48146556786,50929.48771023906,24892.188378196253,41605.235703808976,11840.115429287856,7600.740956921511,40029.908395713595,35245.481474736654,10710.896704930625,8500.0,,3600.0,0.1,10200.0,5000.0,8300.0,2300.0,1500.0,8000.0,7000.0,2100.0,21200.0,21200.0,
362.0,198294.11212955552,19966.977266060887,42236.71736680034,,17952.266821617923,100578.95111889901,50961.77528664258,24908.992975874215,41581.06880483119,11840.040667752628,7605.068214785568,40063.40401498734,35263.64416738959,10714.544286908033,8400.0,,3600.0,0.1,10200.0,5000.0,8300.0,2300.0,1500.0,8000.0,7000.0,2100.0,21200.0,21200.0,
363.0,198740.07635639797,20412.941492903337,42383.56969801508,,17927.504545896707,100579.43270873532,50995.084029142,24927.624834331138,41557.56585229876,11839.705806746271,7609.090872400605,40096.29475491083,35280.30721327251,10718.749854183992,8500.0,,3600.0,0.1,10200.0,5000.0,8300.0,2300.0,1500.0,8000.0,7000.0,2100.0,21200.0,21200.0,
364.0,199410.33141880986,21083.196555315226,42604.27914621583,,17902.323135208237,100578.75629381281,51033.869040507365,24942.020888097246,41533.417013719205,11839.635725661541,7613.469068385946,40129.56801704555,35294.790622367385,10722.921178555487,8500.0,,3500.0,0.1,10200.0,5000.0,8300.0,2300.0,1500.0,8000.0,7000.0,2100.0,21200.0,21200.0,
365.0,199581.94312934778,21254.80826585315,42660.7894630515,,17877.868022336756,100578.24580053375,51064.9203166742,24956.266969979715,41509.75198717726,11839.71884001717,7617.552493206444,40163.61070764728,35313.43159374797,10727.105794305553,8500.0,,3500.0,0.1,10200.0,5000.0,8300.0,2300.0,1500.0,8000.0,7000.0,2100.0,21200.0,21200.0,
