Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,267724.28902778955,701638.4036417743,,24653.359578719144,49120.60307101684,493533.97783775686,501053.0221531319,33052.91137708679,4151.56321575294,811267.758298183,145337.05954511184,113969.3504068621,8856.235793806733,0.015,,0.406,0.20400000000000001,0.021,0.02,0.303,2.4090000000000003,0.013000000000000001,0.069,0.088,1.1300000000000001,0.07200000000000001,0.019,investor 7
1.0,268153.89428318385,702894.3207130764,,24673.581069153548,49156.13567299397,493742.5657957985,501392.93438309984,33062.93386688716,4153.401066342918,811517.9694919134,145411.04341201397,114050.06665720847,8860.316703661498,0.015,,0.406,0.20400000000000001,0.021,0.02,0.303,2.408,0.013000000000000001,0.069,0.088,1.129,0.07200000000000001,0.019,investor 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,358303.37525295914,882370.9380524968,,20068.689488850363,96734.52013189814,127175.37198034071,84180.22144898036,27128.863351241565,116780.96795649268,952.6176028975644,213441.0169391743,196569.76629886037,12638.321722737095,0.012,,0.499,0.10400000000000001,0.079,0.11900000000000001,0.369,0.08600000000000001,10.498,0.047,0.051000000000000004,0.792,0.062,0.05,investor 8
1.0,357257.9043076357,879399.6663254779,,20110.393488404654,96739.02251404017,127189.14276872764,84297.88700508542,27126.3226927061,116827.30266908476,953.2954333506461,213511.0656503796,196657.4712333229,12640.097673692855,0.012,,0.498,0.10400000000000001,0.079,0.11900000000000001,0.369,0.08600000000000001,10.49,0.047,0.051000000000000004,0.792,0.062,0.05,investor 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,231468.87811880506,549053.8156571437,,20804.603542113735,114253.9822013991,744686.2522972494,113955.67604332349,101540.6626044753,6373.915815817997,1728430.462461092,41160.5903315395,8493.103064046747,12259.117818347991,0.019,,0.481,0.088,0.014,0.088,0.099,2.0,0.006,0.243,1.178,0.8160000000000001,0.094,0.013000000000000001,investor 7
