Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,343500.1010342077,868563.6452527404,,126379.36044573919,160.2296083753948,2156.207356613836,859188.8782212741,1025215.6805278182,19320.137933552687,24509.385869572943,426799.53313373873,132967.1555214976,9784.651606736545,0.012,,0.08,62.411,4.638,0.012,0.01,0.518,0.40900000000000003,0.024,0.076,1.0230000000000001,0.067,0.011,investor 5
1.0,344424.808629582,871273.0896831946,,126552.00827036366,160.29174837404526,2157.514503059811,859823.0562187454,1025436.0612663723,19326.59521821408,24525.843269358465,427194.39718785195,133049.48283376254,9792.161199219774,0.012,,0.08,62.387,4.635,0.012,0.01,0.518,0.40800000000000003,0.024,0.076,1.022,0.067,0.011,investor 5
361.0,375435.07240608643,10583.48366621182,,185687.4767216372,180.79529914168134,2625.0887944889805,1065182.5901949783,1092968.4826946768,21556.40645471863,30846.539321385295,552726.5720470558,161693.4924965149,12470.887665946091,100.0,,2000.0,0.0,0.0,11700.0,12000.0,200.0,300.0,6000.0,1700.0,100.0,11600.0,11800.0,investor 5
362.0,376430.3137768495,10615.560901466582,,185838.86701262282,180.87887718759097,2626.2896047120785,1065657.3519601251,1093120.2434699654,21562.37189080247,30863.53350463818,553066.441175258,161760.1958313237,12478.568708888628,100.0,,2000.0,0.0,0.0,11700.0,12000.0,200.0,300.0,6000.0,1700.0,100.0,12100.0,12100.0,
363.0,377040.6899558626,10635.233697296095,,185991.1976425258,180.9352357021903,2627.6965823584574,1066189.2424350611,1093278.1125874294,21568.59766565163,30880.26568293394,553394.4274436039,161847.73699720786,12485.223073201869,100.0,,2000.0,0.0,0.0,11700.0,12000.0,200.0,300.0,6000.0,1700.0,100.0,12200.0,12200.0,
364.0,378633.92673876474,10686.584688726954,,186153.26416217402,181.01037260563407,2629.033002173285,1066736.1168513163,1093413.7106657869,21574.412387023473,30897.74785024648,553718.6824512001,161922.7386649626,12493.696844875545,100.0,,2000.0,0.0,0.0,11700.0,12000.0,200.0,300.0,6000.0,1700.0,100.0,10400.0,11800.0,investor 5
365.0,378298.9884138621,10675.789422614274,,186315.48825965595,181.0467460690201,2630.26829639995,1067295.6746304075,1093568.3405870593,21580.784658959998,30914.633043383288,554058.7329353321,161999.95278658593,12500.633265704892,100.0,,2000.0,0.0,0.0,11700.0,12000.0,200.0,300.0,6000.0,1700.0,100.0,11400.0,11800.0,investor 5
366.0,376795.6134538765,10627.334732441373,,186473.72667779343,181.08220890133052,2631.688268399136,1067834.4880525107,1093743.0987294412,21587.027631645422,30931.490479625183,554384.914798715,162086.77246326156,12508.48117900785,100.0,,2000.0,0.0,0.0,11700.0,12000.0,200.0,300.0,6000.0,1700.0,100.0,12100.0,12100.0,
367.0,377043.3380429494,10635.319046754983,,186626.90451556668,181.14948404460708,2632.8816420081753,1068333.590250105,1093991.2553288452,21594.22213397989,30950.408619791448,554707.0724863423,162155.27510982423,12516.02886549907,100.0,,2000.0,0.0,0.0,11700.0,12000.0,200.0,300.0,6100.0,1700.0,100.0,10400.0,11800.0,investor 5
368.0,377613.0543491717,10653.681350131856,,186787.67614715337,181.23776875733043,2634.3794620485683,1068832.9128292014,1094155.538644923,21600.976339270877,30967.40285809361,555051.35799869,162238.84189061908,12524.429531432863,100.0,,2000.0,0.0,0.0,11700.0,12000.0,200.0,300.0,6100.0,1700.0,100.0,13100.0,13100.0,
368.99999999999994,377753.5227010863,10658.208730627262,,186944.52249013926,181.30780151375637,2635.6376793252152,1069427.1300357527,1094353.8832255066,21607.493309848825,30985.192172632956,555379.1262089559,162327.77916261274,12532.530639775872,100.0,,2000.0,0.0,0.0,11700.0,12000.0,200.0,300.0,6100.0,1700.0,100.0,10800.0,11800.0,investor 5
369.99999999999994,376809.72181147925,10627.789453395682,,187100.66535553496,181.36576848939538,2637.150456546859,1069980.6620043726,1094510.9788155109,21614.28638760515,31003.173503154,555717.4476055567,162397.12284252586,12540.486686879178,100.0,,2000.0,0.0,0.0,11700.0,12000.0,200.0,300.0,6100.0,1700.0,100.0,11900.0,12000.0,investor 5
370.99999999999994,376251.44550124794,10609.795868053949,,187261.45277153334,181.4439550025215,2638.0896095393628,1070525.56635372,1094650.439676452,21620.721052507768,31021.213283731817,556055.6098886194,162456.80503326486,12547.5935576583,100.0,,2000.0,0.0,0.0,11700.0,12000.0,200.0,300.0,6100.0,1700.0,100.0,12000.0,12000.0,investor 5
372.00000000000006,376386.19719908957,10614.138997308442,,187412.79530870606,181.50130118920336,2639.2765749640707,1071078.9754302353,1094858.4226065949,21626.829744181632,31039.4693315557,556396.3216742314,162563.6677520479,12555.376109771274,100.0,,2000.0,0.0,0.0,11700.0,12000.0,200.0,300.0,6100.0,1700.0,100.0,11300.0,11800.0,investor 5
373.00000000000006,376895.7687390042,10630.562798252771,,187567.84684731995,181.54045514565442,2640.405587567031,1071603.8781259295,1095020.9631952425,21632.961189779013,31058.18322494519,556732.8621282063,162661.2785163476,12563.102679355477,100.0,,2000.0,0.0,0.0,11700.0,12000.0,200.0,300.0,6100.0,1700.0,100.0,12500.0,12500.0,
374.00000000000006,375497.56227824214,10585.497752833482,,187725.83515373533,181.59389544938307,2641.7226869346077,1072120.7023570333,1095249.5364612404,21638.925473655687,31077.096388294864,557066.44419523,162762.19796808704,12570.011388752364,100.0,,2000.0,0.0,0.0,11700.0,12000.0,200.0,300.0,6100.0,1700.0,100.0,11700.0,11800.0,investor 5
375.0,376077.7135155394,10604.196380391395,,187877.01874685887,181.6623186549856,2642.9591789647725,1072646.8108513658,1095427.785455043,21645.10320712084,31095.181387351204,557388.3728893918,162848.43132537015,12578.03454174093,100.0,,2000.0,0.0,0.0,11700.0,12000.0,200.0,300.0,6100.0,1700.0,100.0,12300.0,12300.0,
376.0,376312.2354839666,10611.755166204208,,188031.8728369925,181.7217433509696,2644.202794406328,1073141.126636474,1095569.5468588963,21651.081408631693,31112.642694767284,557707.6533591299,162946.0260281624,12587.000547744501,100.0,,2000.0,0.0,0.0,11800.0,12000.0,200.0,300.0,6100.0,1700.0,100.0,12200.0,12200.0,
377.0,376235.700552782,10609.288398779805,,188191.72730987924,181.7820562566703,2645.4707213735214,1073640.9642036534,1095708.5921194167,21657.34024678777,31130.71917342065,558031.2014573616,163014.37076861394,12595.621905853754,100.0,,2000.0,0.0,0.0,11800.0,12000.0,200.0,300.0,6100.0,1700.0,100.0,11000.0,11900.0,investor 5
