Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,216656.03956252857,450883.4791480319,,1832960.831388595,125364.70502133305,83572.65302816473,604904.1129120712,21205.44752835717,5204.368680378176,548025.0847738512,207963.12563905105,431571.8316684012,1915.6442671177497,0.023,,0.006,0.08,0.12,0.017,0.47200000000000003,1.922,0.019,0.049,0.024,5.221,0.07,0.016,investor 1
1.0,217584.51964557564,452996.07694830885,,1833415.7360020764,125401.46604653,83578.20795592356,604989.6362454705,21202.95114354372,5206.277306515399,548333.7747091353,208137.78131284378,431642.3918878353,1916.937911618324,0.023,,0.006,0.08,0.12,0.017,0.47200000000000003,1.921,0.019,0.049,0.024,5.2170000000000005,0.07,0.016,investor 1
361.0,232834.35998858337,7803.111731976155,,1964154.0702330526,137661.86309534984,85893.62392038398,634915.1682352244,19687.530817614628,6004.580226906226,650830.6486654948,268121.61796870775,461148.7967750287,2383.726709544344,100.0,,0.006,2200.0,1300.0,10100.0,300.0,0.0,10400.0,4200.0,7300.0,0.0,30100.0,30100.0,
362.0,232051.0200990403,7774.594034586902,,1964353.2266503915,137697.91233183892,85899.39324711794,634997.0353206651,19683.039522642557,6006.542866328474,651129.4837145659,268277.87500851945,461260.52843518805,2385.003744609543,100.0,,0.006,2200.0,1300.0,10100.0,300.0,0.0,10400.0,4200.0,7300.0,0.0,30100.0,30100.0,
363.0,232187.83100095385,7779.574671922501,,1964633.1026796862,137729.67129736935,85905.93424840835,635078.4339691773,19680.74277088299,6008.866581072393,651391.5193445602,268439.20976606326,461356.4762382347,2386.291765957101,100.0,,0.006,2200.0,1300.0,10100.0,300.0,0.0,10400.0,4200.0,7300.0,0.0,30100.0,30100.0,
364.0,232137.348903545,7777.736857716051,,1964942.0016229902,137760.40747871168,85912.95972866875,635161.2212386687,19676.943621877635,6010.863898034224,651667.1419763309,268593.4578061942,461430.20354499115,2387.6055846600066,100.0,,0.006,2200.0,1300.0,10100.0,300.0,0.0,10400.0,4200.0,7300.0,0.0,30100.0,30100.0,
365.0,232382.3789975893,7786.657243574726,,1965247.1303214254,137801.7657854373,85919.48019192531,635243.8879437571,19672.880245639124,6012.8270922312395,651945.8907955633,268752.8592492401,461496.84509816836,2388.878040409979,100.0,,0.006,2200.0,1300.0,10100.0,300.0,0.0,10400.0,4300.0,7300.0,0.0,30100.0,30100.0,
