Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,259965.67895974583,556497.8883385652,,653032.0707176425,15331.687520166917,27503.48907040501,7584.273588937945,7746.23185869331,236638.85192363823,20196.26105019954,31666.404502869787,5452.79781267684,14055.507521691146,0.018000000000000002,,0.016,0.653,0.364,1.319,1.291,0.043000000000000003,0.496,0.316,1.834,0.712,0.074,0.042,investor 1
1.0,260212.49102442127,557102.2195739048,,652991.5034527436,15331.107292568824,27540.39363592512,7588.684998831157,7750.851609835305,236568.48858695722,20230.786836003514,31670.439050340345,5454.586451492847,14059.54131841798,0.018000000000000002,,0.016,0.653,0.364,1.318,1.291,0.043000000000000003,0.495,0.316,1.834,0.712,0.074,0.042,investor 1
361.0,275137.5752544173,24933.174319951017,,654850.3838339801,15251.15885820802,40622.807948198526,9380.196411456722,9328.792915121952,209388.6333568182,33066.7615393618,33062.65749647191,6056.964337421021,15536.564088042673,1000.0,,0.016,600.0,1700.0,300.0,300.0,8700.0,1300.0,1300.0,200.0,600.0,26500.0,26500.0,
362.0,274283.3766675835,24845.329370834825,,654820.5783502136,15250.470665285697,40658.473839548155,9381.362945296658,9333.364434122128,209309.359381133,33099.119676007125,33066.3545540991,6058.688444103664,15540.726742942426,1000.0,,0.016,600.0,1700.0,300.0,300.0,8700.0,1300.0,1300.0,200.0,600.0,26500.0,26500.0,
363.0,273450.8120899356,24759.709242112167,,654781.6666121582,15249.928636410206,40694.325385920165,9382.715523194058,9337.619240647811,209230.59841312922,33135.85480917694,33068.31307816016,6060.490746294356,15544.91259089932,1000.0,,0.016,600.0,1700.0,300.0,300.0,8700.0,1300.0,1300.0,200.0,600.0,26500.0,26500.0,
364.0,274059.5154546545,24822.30770214801,,654842.9415547071,15248.945206672804,40729.48711830788,9390.583723514672,9341.896844248666,209151.26047659322,33167.56005292149,33072.2526253313,6062.356477230754,15549.522477739018,1000.0,,0.016,600.0,1700.0,300.0,300.0,8700.0,1300.0,1300.0,200.0,600.0,26500.0,26500.0,
365.0,274969.1864523662,24915.857379867157,,654770.8581168604,15249.529604881784,40765.4672620708,9392.606211021093,9346.141267029261,209072.21964594998,33204.146115912146,33075.75862766934,6064.085077977732,15553.248415110098,1000.0,,0.016,600.0,1700.0,300.0,300.0,8700.0,1300.0,1300.0,200.0,600.0,26500.0,26500.0,
