Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,302833.3965833678,720484.558751203,,651662.8924792241,698276.3071920164,73367.02788126958,60107.79645451101,850063.1929980834,20974.107938717512,56871.20444247324,113229.41714897695,3651.6303412407647,16815.268062967218,0.014,,0.016,0.015,0.137,0.167,0.012,0.47700000000000004,0.176,0.089,2.739,0.595,0.056,0.013999999999999999,investor 5
1.0,302341.66127481015,719174.8264174921,,651952.257126583,698614.908004494,73458.36085113359,60157.07653344004,850488.1493459486,20989.17930497508,56885.135616448766,113315.44677886943,3654.0881493973593,16820.5389334266,0.014,,0.016,0.015,0.137,0.167,0.012,0.47700000000000004,0.176,0.089,2.737,0.595,0.056,0.013999999999999999,investor 5
361.0,326899.00153504347,10984.16297227048,,749252.3924898377,798284.5275137054,107602.7909774198,77397.19740569081,1022111.9063275296,26350.827335291036,62013.91483512993,146758.67062100073,4313.973518181075,18690.62232665014,100.0,,10400.0,11100.0,1500.0,1000.0,0.012,300.0,800.0,2000.0,0.0,200.0,13700.0,13700.0,
362.0,326061.252626419,10952.924264378531,,749516.2610374661,798591.9706154254,107697.00419963287,77443.53986875225,1022591.7764946831,26365.441112438115,62026.45001950711,146848.32592356353,4317.547556284621,18695.64913275186,100.0,,10400.0,11100.0,1500.0,1000.0,0.012,300.0,800.0,2000.0,0.0,200.0,13700.0,13700.0,
363.0,325674.80326360854,10938.514005367048,,749779.7136677556,798804.4815432624,107787.94416886836,77489.75215038349,1023164.7342972341,26380.053282080535,62038.43460361691,146939.19498958276,4319.568182370284,18699.874026777998,100.0,,10400.0,11100.0,1500.0,1000.0,0.012,300.0,800.0,2000.0,0.0,200.0,13700.0,13700.0,
364.0,325450.702781532,10930.157552227014,,750040.0709471952,799124.22173441,107876.64473777529,77535.92230243332,1023745.9115661517,26394.39241991983,62047.904614635154,147025.6811492927,4322.495156399996,18704.75860490211,100.0,,10500.0,11100.0,1500.0,1000.0,0.012,300.0,800.0,2000.0,0.0,200.0,13700.0,13700.0,
365.0,324714.00192448584,10902.6868117222,,750309.1275164866,799356.1292348728,107974.2088979821,77582.15845179273,1024070.8878994732,26409.136734505308,62073.143352202496,147116.15858570597,4323.865193890738,18712.301671801102,100.0,,10500.0,11100.0,1500.0,1000.0,0.012,300.0,800.0,2000.0,0.0,200.0,13700.0,13700.0,
