Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,92358.26775473297,248504.6301298647,,25045.924368106662,2027.0973695157718,28462.196410002587,4703.825406985457,23381.840175782163,17909.58623576688,3418.793207663736,6078.176328053625,50893.325997544045,762761.9950853648,0.041,,0.4,4.934,0.352,2.126,,0.559,2.926,1.6460000000000001,0.197,0.014,0.195,0.194,investor 10
1.0,92651.9444935485,249387.66248046196,,25057.097003671388,2028.1142822471681,28473.069900805553,4706.482748907783,23395.27341501022,17920.638753103638,3420.5191822499396,6084.404023213747,50904.49673697819,763108.9085424888,0.041,,0.4,4.931,0.352,2.125,,0.559,2.924,1.6440000000000001,0.197,0.014,0.195,0.194,investor 10
361.0,97077.08894260286,50962.493243972014,,29746.73116313035,2421.327612796266,32156.74942566748,5631.680488583184,27996.72324942034,22070.700887524654,4079.246809121962,8284.49306802557,55270.62103902092,847869.2703718285,9800.0,,5700.0,400.0,6200.0,1000.0,5400.0,4200.0,700.0,1600.0,10700.0,0.014,154300.0,154300.0,
362.0,96966.63371014709,50898.06221165652,,29755.724642709145,2422.3989775024497,32158.856906111443,5634.255483775959,28009.541908665164,22077.006162859805,4081.0436412134854,8289.320981800345,55283.17237634105,848033.2607023537,9800.0,,5700.0,400.0,6200.0,1000.0,5400.0,4200.0,700.0,1600.0,10700.0,0.014,154300.0,154300.0,
363.0,96859.54511454108,50835.59501466905,,29776.65030897238,2423.5730183991336,32173.383092333326,5636.4286863409225,28022.68997936497,22091.35009360096,4082.85663672591,8293.88555959779,55296.16748353102,848199.1409517775,9800.0,,5700.0,400.0,6200.0,1000.0,5400.0,4200.0,700.0,1600.0,10700.0,0.014,154300.0,154300.0,
364.0,96959.4079646388,50893.8472710693,,29798.096229067876,2424.8171928138418,32182.927256922987,5638.868002178421,28035.50420192938,22101.405282658772,4084.6806035480663,8300.96143733291,55308.5618466194,848384.2315062124,9800.0,,5700.0,400.0,6200.0,1000.0,5400.0,4200.0,700.0,1600.0,10700.0,0.014,154300.0,154300.0,
365.0,96804.33116946075,50803.38747320053,,29808.921505374237,2425.841735538764,32194.957185159135,5641.413803182671,28048.274721344693,22110.108826775824,4086.514104075225,8306.732475151632,55320.974607893004,848566.4983756617,9800.0,,5700.0,400.0,6200.0,1000.0,5400.0,4200.0,700.0,1600.0,10700.0,0.014,154300.0,154300.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
