Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,196070.65147018278,421871.44926764426,,263177.4565265342,4997.762967265229,430.6121850874083,30617.66504583226,499491.808082798,450382.5339820731,20251.463434097743,61394.38307894833,206083.51677800505,12619.723270583634,0.024,,0.038,2.001,23.223,0.327,0.021,0.023,0.494,0.163,0.049,0.793,0.126,0.022,investor 5
1.0,195998.10111719684,421681.93024639215,,263353.42021438637,5000.117868881188,431.0092993121299,30635.322308506864,499551.7375915354,450524.2706347466,20259.05693215432,61427.20583822491,206184.28116935003,12631.866979240069,0.024,,0.038,2.0,23.202,0.327,0.021,0.023,0.494,0.163,0.049,0.792,0.126,0.022,investor 5
361.0,226568.4104222466,11033.856938613679,,325059.1906132577,5885.046317793193,559.336940828197,35296.16554410388,524480.6888724114,491219.2184196223,22884.635181373786,74178.77513567694,243685.96112322915,17162.999319471895,200.0,,7100.0,100.0,0.0,700.0,0.021,10800.0,500.0,1600.0,5300.0,300.0,11100.0,11100.0,
362.0,226761.0960498953,11044.930447994191,,325222.0819383775,5887.643740549064,559.6746626623883,35311.93902239542,524547.5205380482,491299.93419719214,22891.61235291853,74213.81769051353,243782.57070225652,17175.39168610396,200.0,,7100.0,100.0,0.0,700.0,0.021,10800.0,500.0,1600.0,5300.0,300.0,11100.0,11100.0,
363.0,227598.26318547607,11093.041862644233,,325393.27814413194,5889.752816743346,560.0184079429472,35333.36796721424,524634.2364150649,491360.05613098154,22896.88994839335,74248.50714719734,243888.82014370477,17187.87678643936,200.0,,7100.0,100.0,0.0,700.0,0.021,10800.0,500.0,1600.0,5300.0,300.0,11100.0,11100.0,
364.0,227619.87314585655,11094.283772079336,,325567.7642200181,5892.352921213114,560.3527934927429,35347.622453198375,524729.8549334324,491445.35946057655,22903.69750819786,74283.37462207461,243974.5338715185,17200.092674880056,200.0,,7100.0,100.0,0.0,700.0,0.021,10800.0,500.0,1600.0,5300.0,300.0,11100.0,11100.0,
365.0,227426.108721729,11083.1482650134,,325745.4397427428,5894.5025614257065,560.6965872617741,35357.00534769234,524798.8867593303,491504.6653033126,22905.42396396787,74318.34391904327,244069.80414430954,17212.468298453867,200.0,,7100.0,100.0,0.0,700.0,0.021,10800.0,500.0,1600.0,5300.0,300.0,11100.0,11100.0,
