Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,274816.6548389633,578148.4998559176,,6432.301950237755,91025.91672377259,208424.84499028808,8494.906745031554,252574.78974521926,8641.117811958775,4114.165312923491,1119047.6360288332,309769.8761828706,573457.9609262893,0.018000000000000002,,1.555,0.11,0.048,1.178,0.04,1.158,2.431,0.009000000000000001,0.033,0.018000000000000002,0.093,0.017,investor 8
1.0,274544.29511415877,577454.5282350333,,6434.697665366831,91104.0273459807,208458.34504697824,8498.075410336747,252690.1620796189,8644.487085349712,4116.920323356513,1119236.018650546,310006.4902014825,573729.0056243632,0.018000000000000002,,1.555,0.11,0.048,1.177,0.04,1.157,2.43,0.009000000000000001,0.033,0.018000000000000002,0.093,0.017,investor 8
361.0,280309.0511663301,10066.432808472162,,7348.650699641442,118324.04131248398,220000.37132174167,9822.733987913989,295943.6130531439,10169.438486146031,5243.011351591711,1186544.803560565,395495.128834567,654298.6890278535,100.0,,100.0,2000.0,3700.0,100.0,5000.0,100.0,0.0,0.009000000000000001,6700.0,11100.0,18800.0,18800.0,
362.0,280030.8376997445,10054.38173058814,,7351.8023847453505,118398.08234218834,220031.39412469327,9825.932379205486,296057.41129422165,10173.678936392263,5246.145043750579,1186730.5653383,395713.06154942134,654451.7043138663,100.0,,100.0,2000.0,3700.0,100.0,5000.0,100.0,0.0,0.009000000000000001,6700.0,11100.0,18800.0,18800.0,
363.0,279709.8196433809,10040.476531652614,,7354.14759443143,118470.62300211267,220063.56902908706,9829.554035908159,296146.18403221056,10177.345628277215,5249.217650850927,1186914.7575882983,395977.4446639695,654644.9797769814,100.0,,100.0,2000.0,3700.0,100.0,5000.0,100.0,0.0,0.009000000000000001,6700.0,11100.0,18800.0,18800.0,
364.0,279776.05127029587,10043.345416844022,,7357.065100406054,118544.9415499799,220095.19304475817,9833.29260445269,296281.93242943956,10181.723319758326,5252.274678250422,1187134.5572867584,396210.27284691675,654819.3712158632,100.0,,100.0,2000.0,3700.0,100.0,5000.0,100.0,0.0,0.009000000000000001,6700.0,11100.0,18800.0,18800.0,
365.0,280307.06545099197,10066.346795345302,,7359.785594902429,118620.60245454215,220127.48178295756,9836.88018022287,296400.2636361449,10185.83732698869,5255.369388708075,1187258.0351465682,396454.75974452175,655016.4985307391,100.0,,100.0,2000.0,3700.0,100.0,5000.0,100.0,0.0,0.009000000000000001,6700.0,11100.0,18800.0,18800.0,
