Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,591247.6234765386,1105739.1847270653,,2406.1855500136744,116026.04751473416,17367.831191780366,2122.6469958455887,11754.403273034724,552.4786111525556,338594.359146854,613093.9815653804,358802.6009451343,1039033.7118176433,0.01,,4.156,0.08700000000000001,0.5760000000000001,4.712,0.851,18.101,0.03,0.017,0.028,0.01,0.037,0.016,investor 10
1.0,591753.7535434532,1106870.7279816067,,2405.4130360712234,116103.23060389528,17390.790813413256,2124.7440762629476,11767.327984112664,552.6855459839244,339081.86091898166,613502.9688496029,358969.7465947183,1039170.4583861616,0.01,,4.158,0.08700000000000001,0.5760000000000001,4.707,0.85,18.094,0.03,0.017,0.028,0.01,0.037,0.016,investor 10
361.0,610261.6140986232,18371.973162681843,,2094.6845395181754,142789.2201631148,25363.644750365485,2937.369447477014,16376.637776953778,630.9361008136011,512055.65524694405,745260.8029805624,425047.68488048826,1121612.2719570382,200.0,,0.0,2200.0,400.0,0.0,200.0,0.0,8100.0,11900.0,6800.0,0.01,17700.0,17700.0,
362.0,610896.4069154183,18394.680227978464,,2093.8307427914497,142864.739536612,25386.063413619737,2939.5889813422614,16388.87842339671,631.1597329633488,512523.8016838085,745609.9524229731,425239.7791031893,1121780.7939530837,200.0,,0.0,2200.0,400.0,0.0,200.0,0.0,8200.0,11900.0,6800.0,0.01,17700.0,17700.0,
363.0,610429.8192660903,18377.990000963327,,2092.9478519515883,142939.3627556399,25408.02139165746,2942.168277246135,16401.909086955926,631.38246574009,512965.72911689826,745977.4299481742,425428.0570813055,1122045.7344882223,200.0,,0.0,2200.0,400.0,0.0,200.0,0.0,8200.0,11900.0,6800.0,0.01,17700.0,17700.0,
364.0,609244.0645361696,18335.57457128972,,2092.050833269789,143011.8306431935,25430.39273442211,2944.234558435314,16414.781048171786,631.6069879329614,513422.0057994465,746365.5521026116,425578.784650537,1122237.2279264953,200.0,,0.0,2200.0,400.0,0.0,200.0,0.0,8200.0,11900.0,6800.0,0.01,17700.0,17700.0,
365.0,607244.3148263651,18264.041866388165,,2091.1625147825393,143086.7333416343,25453.140559124375,2946.2364099617707,16429.33678501639,631.8257219568793,513879.9119463656,746739.9244067736,425770.21934756567,1122486.4216231776,200.0,,0.0,2200.0,400.0,0.0,200.0,0.0,8200.0,11900.0,6800.0,0.01,17700.0,17700.0,
