Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,361315.7719653322,722698.1118779139,,237000.6103586305,334.4013818290434,66763.81404870041,105793.71359060142,14143.589707103729,352349.089401887,73832.85468279102,5999.610421866502,88250.09311102195,135172.94913565068,0.014,,0.043000000000000003,29.905,0.15,0.095,0.708,0.029,0.136,1.667,0.114,0.074,0.055,0.042,investor 6
1.0,359538.174793747,718464.7480093427,,236883.78356943265,334.7662548628803,66811.85824431336,105872.65908702333,14149.73680978641,352795.26356010436,73918.28254172984,6006.25425745653,88368.18132938934,135269.54453617573,0.014,,0.043000000000000003,29.872,0.15,0.095,0.707,0.029,0.136,1.665,0.114,0.074,0.055,0.042,investor 6
361.0,345822.89965608955,28803.671200147302,,196377.28734965337,472.38336073189924,87146.82245265506,131531.9349070625,17442.500412639998,507753.3160955751,103659.3351767005,8519.940771988424,126609.12654182495,170703.73076230608,1200.0,,8200.0,0.0,3600.0,5500.0,700.0,0.029,4300.0,300.0,5300.0,7100.0,22000.0,22000.0,
362.0,345577.40756026725,28779.1162502556,,196219.7031451967,472.79825661456437,87202.61782277358,131609.41969419352,17452.04778937372,508161.4269126466,103743.50286104517,8526.74659770922,126696.4550000897,170804.2886154983,1200.0,,8200.0,0.0,3600.0,5500.0,700.0,0.029,4300.0,300.0,5300.0,7100.0,22000.0,22000.0,
363.0,346180.6323557795,28839.452834933087,,196125.19995825735,473.16280950200337,87258.93628479479,131682.49509461952,17460.53895234063,508579.548514365,103824.83908015973,8533.650154383033,126824.30590566099,170903.60256646824,1200.0,,8200.0,0.0,3600.0,5500.0,700.0,0.029,4300.0,300.0,5300.0,7100.0,22000.0,22000.0,
364.0,347431.41683378356,28964.560529662856,,195998.4155767102,473.57506892850313,87314.19458193319,131782.03084883976,17469.913177673967,508995.5007320751,103900.12179848363,8540.334854279146,126939.26979413618,171001.84512210716,1200.0,,8200.0,0.0,3600.0,5500.0,700.0,0.029,4300.0,300.0,5300.0,7100.0,22000.0,22000.0,
365.0,347017.6620324415,28923.175374754413,,195894.5032030006,473.96542942180406,87369.30555783535,131838.50439214506,17480.2655143567,509393.64329934935,103978.41690374892,8547.441568287695,127033.17249543223,171096.50895770197,1200.0,,8200.0,0.0,3600.0,5500.0,700.0,0.029,4300.0,300.0,5300.0,7100.0,22000.0,22000.0,
