Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,326618.5586589203,886878.2477095163,,155871.98115264278,8793.692001101655,36345.13645772325,3345.394292401987,111814.039167063,786098.7128289896,361479.2836891575,14248.550474382062,99216.11407515487,235304.43691717228,0.012,,0.065,1.1380000000000001,0.276,2.99,0.09,0.013000000000000001,0.028,0.7020000000000001,0.101,0.043000000000000003,0.079,0.027,investor 6
1.0,325790.35768663534,884253.213612088,,155850.95281020898,8804.358413831094,36361.864418223835,3346.8939031386294,111900.49965517761,786197.5359231727,361550.28754285385,14249.366418979645,99303.65928030689,235375.5572658231,0.012,,0.065,1.1360000000000001,0.276,2.988,0.09,0.013000000000000001,0.028,0.7020000000000001,0.101,0.043000000000000003,0.079,0.027,investor 6
361.0,333569.68714960717,24540.577518899063,,145587.5752089788,12868.696222852048,42326.398847580596,3914.830223656722,139709.83898849285,837126.9116941915,389194.9267200023,14567.28128573906,131941.29271672506,270803.6130440178,600.0,,3900.0,300.0,1100.0,100.0,3700.0,0.013000000000000001,10500.0,300.0,3500.0,7300.0,20600.0,20600.0,
362.0,335652.08727199765,24718.785503113835,,145554.91845797567,12880.455830149152,42341.81422600364,3916.4092080067985,139787.97732594196,837333.5387098864,389292.8327768508,14568.193574432607,132028.302051906,270888.9750268242,600.0,,3900.0,300.0,1100.0,100.0,3700.0,0.013000000000000001,10500.0,300.0,3500.0,7300.0,20600.0,20600.0,
363.0,335534.60027510766,24708.731181342482,,145522.6178685778,12891.76215563503,42358.38354977754,3917.9985525912075,139851.51981651905,837481.8764411543,389413.3250219761,14569.090455991905,132118.22110893147,270972.32829796965,600.0,,3900.0,300.0,1100.0,100.0,3700.0,0.013000000000000001,10500.0,300.0,3500.0,7300.0,20600.0,20600.0,
364.0,335053.7113922097,24667.577592495127,,145491.7094362787,12904.044014899267,42375.994913856324,3919.5809957844804,139928.45000653775,837659.7866358259,389505.76947622147,14570.001163231971,132195.56831367378,271038.7579719662,600.0,,3900.0,300.0,1100.0,100.0,3700.0,0.013000000000000001,10500.0,300.0,3500.0,7300.0,20600.0,20600.0,
365.0,336203.3969137883,24765.965571384717,,145464.82106129476,12915.2493811502,42394.27512251682,3921.1559734224943,140008.01942083825,837809.3345087287,389561.5837466524,14570.884800957376,132283.35238063952,271130.71374458895,600.0,,3900.0,300.0,1100.0,100.0,3700.0,0.013000000000000001,10500.0,300.0,3500.0,7300.0,20600.0,20600.0,
