Time,Home Value,Equity,HEP Expectation
0.0,72437.67230608371,10689.896923762819,18026.84852760512
30.0,71804.0822172531,10056.306834932213,17521.709856395137
60.0,71933.08549876341,10185.310116442517,17624.559549521044
90.0,71366.71423892339,9618.9388566025,17173.012041675476
120.0,71971.21749135265,10223.442109031763,17654.96082063731
150.0,72490.5696700836,10742.794287762707,18069.02170018541
180.0,73160.17438703007,11412.39900470918,18602.873543699185
210.0,72745.05458604604,10997.27920372515,18271.913403446593
240.0,73623.54159406385,11875.766211742957,18972.299611703693
270.0,74466.52877489025,12718.753392569357,19644.383079984626
300.0,74438.20673891375,12690.43135659286,19621.802935706273
330.0,74327.2232782513,12579.44789593041,19533.31979994765
360.0,75143.15278770016,13395.377405379273,20183.831156532662
390.0,74802.17312429073,13054.397741969835,19911.98029093252
420.0,75392.68234904375,13644.906966722861,20382.772133146344
450.0,75789.8254210741,14042.050038753208,20699.400071654534
480.0,76129.33178359742,14381.556401276524,20970.07632725835
510.0,75652.61088550162,13904.83550318073,20590.003839939953
540.0,74572.19328401232,12824.417901691428,19728.625606300797
570.0,74412.67410284224,12664.898720521349,19601.446680005596
600.0,74345.90916085421,12598.133778533316,19548.217384481904
630.0,73760.88252043302,12013.10713811213,19081.796610270892
660.0,74381.05837459926,12633.282992278371,19576.240592922593
690.0,75087.95376713302,13340.178384812127,20139.822955658103
720.0,74959.04439023593,13211.269007915034,20037.048129314968
750.0,76631.5801225425,14883.804740221603,21370.500928312944
780.0,77469.6361911707,15721.860808849815,22038.65299755955
810.0,76348.33450384691,14600.559121526021,21144.679347489273
840.0,77195.5188577069,15447.743475386014,21820.10907141151
870.0,77373.0597364085,15625.284354087606,21961.656051286627
900.0,77447.94113848775,15700.165756166854,22021.356309563173
930.0,76653.05782817144,14905.28244585055,21387.62433329245
960.0,76874.71794530506,15126.942562984172,21564.346000823236
990.0,76597.16951202998,14849.394129709093,21343.066581759485
1020.0,76555.2323242987,14807.456941977813,21309.63156492714
1050.0,76207.66056613567,14459.885183814782,21032.52505842758
1080.0,76106.48758287627,14358.712200555383,20951.863464714326
1110.0,76298.61028873456,14550.834906413671,21105.036012797642
1140.0,75746.53643290444,13998.761050583547,20664.887312778515
1170.0,76311.26641250832,14563.491030187433,21115.126286712046
1200.0,77889.60489673725,16141.829514416357,22373.478995660636
1230.0,78199.68319220687,16451.907809885975,22620.693308046215
1260.0,78654.37510477005,16906.59972244916,22983.20287467471
1290.0,78661.5654325374,16913.790050216514,22988.935465316506
1320.0,78395.09443766666,16647.319055345768,22776.487690899066
1350.0,78930.44643763827,17182.671055317376,23203.30465452042
1380.0,79169.08833325066,17421.312950929772,23393.565285439017
1410.0,79320.54151112326,17572.766128802366,23514.313476374726
1440.0,78773.03893137244,17025.263549051553,23077.80929094814
1470.0,78292.35245606706,16544.57707374617,22694.57519103896
1500.0,77832.45090688296,16084.675524562073,22327.912167835682
1530.0,77405.10894850967,15657.333566188783,21987.207739514568
1560.0,77638.94796062724,15891.172578306345,22173.63920354857
1590.0,77411.37235178456,15663.596969463673,21992.201326477658
1620.0,77503.20792933917,15755.432547018281,22065.41854125663
1650.0,77945.2805549958,16197.505172674908,22417.867202684785
1680.0,77973.9278270115,16226.152444690611,22440.70664600139
1710.0,76401.28788836772,14653.512506046827,21186.897183223227
1740.0,76627.90440444942,14880.12902212853,21367.5704100078
1770.0,76210.11689037099,14462.3415080501,21034.4833977106
1800.0,76838.244912749,15090.469530428105,21535.26735908757
