Time,Home Value,Equity,HEP Expectation
0.0,185812.8160895073,-32223.477322823543,7869.378669682173
30.0,187132.59459386198,-30903.698818468867,8921.590772954909
60.0,187554.62608044498,-30481.667331885867,9258.061352434424
90.0,185798.44881472504,-32237.844597605814,7857.924156392956
120.0,186774.99100063177,-31261.302411699085,8636.486243877405
150.0,184682.0925527173,-33354.20085961354,6967.893316692931
180.0,181928.96528031564,-36107.32813201522,4772.92360903899
210.0,183105.95489471234,-34930.33851761851,5711.295247619431
240.0,184762.56140312811,-33273.73200920274,7032.048247281147
270.0,184837.06430371644,-33199.22910861441,7091.446739883729
300.0,185051.2937922985,-32984.99962003235,7262.244233569367
330.0,187449.8421310155,-30586.451281315356,9174.520864803633
360.0,188337.97027333803,-29698.323138992826,9882.593603922725
390.0,187035.7026902319,-31000.590722098947,8844.342330604693
420.0,186907.45816319436,-31128.835249136493,8742.097565227667
450.0,186963.16638263123,-31073.127029699623,8786.511732112358
480.0,188206.36733108282,-29829.926081248035,9777.671294451611
510.0,188697.31429337658,-29338.979118954274,10169.085712921067
540.0,191713.24428568446,-26323.049126646394,12573.578610826915
570.0,191757.61822069332,-26278.675191637536,12608.95635893548
600.0,190904.72128709735,-27131.572125233506,11928.972199917285
630.0,191168.61844860375,-26867.6749637271,12139.367949234444
660.0,191688.76839170052,-26347.52502063033,12554.064857721114
690.0,195724.64624844783,-22311.647163883026,15771.725635031928
720.0,197179.90048773805,-20856.3929245928,16931.947686586605
750.0,197587.20726652083,-20449.086145810026,17256.678784241387
780.0,198933.56474550712,-19102.728666823736,18330.081351450077
810.0,198145.95633646435,-19890.337075866497,17702.14939324666
840.0,197313.23958402238,-20723.053828308475,17038.254169444815
870.0,196727.10500498972,-21309.188407341135,16570.950075485198
900.0,200028.81955272614,-18007.47385960471,19203.288757481445
930.0,198289.79044611152,-19746.502966219326,17816.82317413857
960.0,199272.20958821944,-18764.08382411141,18600.070748183745
990.0,202606.1373309381,-15430.15608139275,21258.09185608219
1020.0,204619.6728179973,-13416.620594333537,22863.411538788216
1050.0,203903.14577243486,-14133.147639895993,22292.150204272286
1080.0,204264.2144026125,-13772.079009718349,22580.0172831279
1110.0,206522.83081368965,-11513.4625986412,24380.731203338244
1140.0,207387.8265362319,-10648.466876098944,25070.36129318665
1170.0,204562.9294030229,-13473.36400930796,22818.172047600772
1200.0,207610.25219295386,-10426.041219376988,25247.693297995796
1230.0,205943.93455998914,-12092.358852341713,23919.197966758697
1260.0,201790.35212680677,-16245.94128552408,20607.695548955227
1290.0,204150.07198731124,-13886.221425019612,22489.015626046454
1320.0,207177.695870701,-10858.59754162986,24902.831644225953
1350.0,206489.9388767859,-11546.35453554496,24354.507640826774
1380.0,206824.40229479905,-11211.891117531806,24621.1633375018
1410.0,228485.47408766902,10449.180675338168,41890.759588019675
1440.0,228707.5668429215,10671.273430590634,42067.82618241772
1470.0,226589.38221702538,8553.088804694533,40379.07349173505
1500.0,224016.1051613124,5979.811748981534,38327.49191637122
1530.0,224340.7411064696,6304.44769413874,38586.31252113537
1560.0,223491.8564951264,5455.563082795561,37909.527242855664
1590.0,224128.33420533192,6092.04079300107,38416.96811110121
1620.0,223768.94928300625,5732.6558706754,38130.443392175206
1650.0,222838.1116809726,4801.818268641742,37388.319931450926
1680.0,223936.64804617644,5900.354633845593,38264.14360605907
1710.0,225669.22872884467,7632.935316513816,39645.468092088224
1740.0,230181.50574817118,12145.212335840333,43242.94484852045
1770.0,233693.60334023234,15657.309927901486,46043.01439204491
1800.0,233005.28550202798,14968.99208969713,45494.24324759344
