Time,Home Value,Equity,HEP Expectation
0.0,322347.03530302085,127040.16414586222,131346.0746536313
1.0,323477.9085391171,128171.03738195845,132247.67935651247
2.0,324685.71796699066,129378.84680983203,133210.62252785693
3.0,324376.58858304244,129069.7174258838,132964.16474862024
4.0,324116.9775251787,128810.10636802006,132757.18615613194
5.0,324589.5220067706,129282.65084961196,133133.92893624626
6.0,324956.2195608004,129649.34840364178,133426.28375435976
7.0,325206.0720538296,129899.20089667098,133625.48219283312
8.0,325476.03190228494,130169.16074512631,133840.71150517996
9.0,325728.230337612,130421.35918045335,134041.7802793735
10.0,325407.26159797196,130100.39044081332,133785.88340614276
11.0,325407.9243885615,130101.05323140288,133786.41182532677
12.0,324854.0791712027,129547.2080140441,133344.8508822429
12.999999999999998,325846.1125251568,130539.24136799818,134135.76352283874
14.0,325502.29588704207,130195.42472988344,133861.6508389776
15.0,325565.53048160975,130258.65932445112,133912.06551502369
16.0,324585.8973317148,129279.02617455617,133131.03911272544
17.0,324756.50753462024,129449.6363774616,133267.06051317
18.0,324745.57794234663,129438.706785188,133258.34674094518
19.0,325751.28798418003,130444.4168270214,134060.16331464174
20.0,325000.8668905258,129693.99573336716,133461.87947027787
21.0,324677.8006484324,129370.92949127377,133204.31033351147
22.0,324399.4604168813,129092.58925972268,132982.3996420587
23.0,324652.9820014947,129346.11084433604,133184.52331575914
24.0,324150.7175462733,128843.84638911468,132784.08586577507
25.0,323583.2305421205,128276.35938496189,132331.64881497502
25.999999999999996,324572.6109160044,129265.73975884577,133120.4463296384
27.0,325480.4078529969,130173.53669583827,133844.20029385717
28.0,325227.90934281563,129921.038185657,133642.89228073644
29.000000000000004,324186.1359239437,128879.26476678508,132812.32366896715
30.0,323430.5166844818,128123.64552732318,132209.89552924206
60.0,324712.16017180553,129405.2890146469,133231.70395011955
90.0,331290.2361730109,135983.36501585227,138476.16820065724
120.0,326997.8505441318,131690.9793869732,135054.00296935663
150.0,327147.5605113366,131840.68935417797,135173.3613609001
180.0,326920.6796341843,131613.80847702565,134992.47736850812
210.0,331222.10308989714,135915.2319327385,138421.8481352455
240.0,331071.75542016607,135764.88426300744,138301.9813263318
270.0,331342.1788441337,136035.30768697505,138517.58023082095
300.0,332173.4275903241,136866.55643316545,139180.30506584884
330.0,331645.5810514078,136338.70989424916,138759.47193734604
360.0,330642.3127720555,135335.44161489687,137959.60209336775
390.0,328971.4684295446,133664.59727238596,136627.49777883774
420.0,331466.2769211311,136159.4057639725,138616.51918018155
450.0,335232.80186154763,139925.930704389,141619.43453037718
480.0,339824.02165293787,144517.15049577923,145279.84952982314
510.0,337531.35720262333,142224.4860454647,143451.99032814315
540.0,335597.11752423947,140290.24636708084,141909.89035188916
570.0,337398.5817246315,142091.71056747285,143346.13319795055
600.0,339414.4254904892,144107.55433333054,144953.2931886185
630.0,346508.14796972123,151201.2768125626,150608.86389633783
660.0,347422.5775583274,152115.70640116878,151337.90583598707
690.0,346745.1746783368,151438.3035211782,150797.83679654895
720.0,346540.4681193547,151233.59696219605,150634.63159335035
750.0,344945.82569738664,149638.954540228,149363.2803391432
780.0,352549.79709296435,157242.92593580572,155425.65422155373
810.0,352949.5269708588,157642.65581370017,155744.34452767138
840.0,356650.3110004767,161343.43984331808,158694.8470057114
870.0,355959.7792214622,160652.90806430357,158144.3107655953
900.0,352187.78053642635,156880.90937926772,155137.03139498283
930.0,355173.4850772703,159866.61392011167,157517.4266236568
960.0,356024.1495817697,160717.27842461108,158195.63094696213
990.0,347898.1272868443,152591.25612968567,151717.04459177263
1020.0,345465.85787452915,150158.9867173705,149777.88335705508
1050.0,342546.7448547133,147239.8736975547,147450.57916158845
1080.0,343885.4834279224,148578.61227076378,148517.9074482675
1110.0,347831.6720940225,152524.80093686387,151664.06224815839
1140.0,345637.23210963066,150330.36095247202,149914.51389298815
1170.0,344802.07116770383,149495.2000105452,149248.6700045049
1200.0,350087.613446084,154780.7422889254,153462.64343968433
1230.0,350477.2339148614,155170.36275770277,153773.2738762141
1260.0,347009.7209047819,151702.84974762326,151008.75002208046
1290.0,350435.08023866743,155128.2090815088,153739.66626088903
1320.0,350959.6364117812,155652.76525462256,154157.87609865764
1350.0,352850.94271752704,157544.0715603684,155665.74683555446
1380.0,354170.28886974044,158863.4177125818,156717.61423995963
1410.0,356702.32236190955,161395.45120475092,158736.3138001976
1440.0,354088.90167877683,158782.0305216182,156652.72714936017
1470.0,352629.484629321,157322.6134721624,155489.18623844735
1500.0,351394.4561624558,156087.58500529715,154504.54230279132
1530.0,355338.0637145733,160031.19255741464,157648.63927300586
1560.0,356424.6904110461,161117.81925388746,158514.9677955537
1590.0,360356.3525525223,165049.4813953637,161649.54111796385
1620.0,364556.544909872,169249.67375271337,164998.20395789848
1650.0,364420.95643290563,169114.085275747,164890.1041244358
1680.0,356402.72016043967,161095.84900328104,158497.45170211553
1710.0,386536.0635494073,191229.19239224866,182521.68646675796
1740.0,386310.795458547,191003.92430138838,182342.08829107753
1770.0,388045.8581854588,192738.98702830018,183725.39162203055
1800.0,384972.44348340953,189665.5723262509,181275.06822518609
