Time,Home Value,HEP Expectation,Investor Valuations,Valuation #1,Valuation #2,Valuation #3,Valuation #4,Valuation #5,Valuation #6,Valuation #7,Valuation #8,Valuation #9,Valuation #10,E.D.B.,Investor Bids,Bid #1,Bid #2,Bid #3,Bid #4,Bid #5,Bid #6,Bid #7,Bid #8,Bid #9,Bid #10,Reserve,Best Bid,Winning Bidder
0.0,196121.95634176294,423071.14429614844,,153516.67096183004,25852.98986483323,24129.18759079215,26626.083993738164,14275.794578063475,600049.1382496688,30219.53484771792,561179.8886373413,19939.455438392637,53611.08470972332,0.024,,0.066,0.387,0.41500000000000004,0.376,0.7010000000000001,0.017,0.331,0.018000000000000002,0.502,0.187,0.097,0.017,investor 6
1.0,195677.79934323748,421973.781302319,,153663.94989824868,25866.700145239156,24147.397436779494,26652.201597694202,14291.633375420553,600095.2718655559,30223.534986630948,561333.0280669464,19948.605481719143,53653.69304525287,0.024,,0.066,0.387,0.41500000000000004,0.376,0.7000000000000001,0.017,0.331,0.018000000000000002,0.502,0.187,0.097,0.017,investor 6
361.0,207000.3353584212,7649.115502677252,,205952.86232619928,30967.647406330787,30196.619086952167,36039.73236730042,19885.613845320193,618152.741832481,31544.219563871156,630063.2367376596,22762.355299223203,67137.3273149901,100.0,,3500.0,500.0,500.0,600.0,300.0,0.017,500.0,10700.0,300.0,1100.0,9200.0,9300.0,investor 8
362.0,206476.78442453136,7627.125683364644,,206087.48917090244,30981.75019411912,30215.910928172812,36066.67302879089,19900.045480899826,618221.5050952235,31547.82504507904,630238.5746157113,22769.80383965691,67169.0253818092,100.0,,3500.0,500.0,500.0,600.0,300.0,0.017,500.0,10700.0,300.0,1100.0,9200.0,9300.0,investor 8
